ChartMill,,2019-05-22 14:33:00,351.308,The technical breakout setup screen lists ULTA CTLT and ENB today chartmillcomstockscreener
EstimizeAlerts,,2019-05-22 14:21:00,351.094,ULTA estimates distribution heres what 5 Estimize analysts are expecting ULTA to report for Q1 Comparable Sales on 0530 AMCestimizecomintroultacha
EstimizeAlerts,,2019-05-22 12:42:00,351.51,Heres what 5 Estimize analysts believe ULTA will report for Q1 Comparable Sales on 0530 AMCestimizecomintroultacha
EstimizeAlerts,,2019-05-22 11:03:00,352.457,ULTA analysts on Estimize expect 815 YoY growth in Comparable Sales for Q1 up from 4336 in previous year Reporting 0530 AMCestimizecomintroultacha
