ben2323,,2019-05-22 12:31:00,2.015,ODP exdividend date is tomorrow at 025share
ty_industries,True,2019-05-22 11:40:00,2.023,ODP understand the hesitation to buy here but are ppl rly shorting herenot covering
Tradelike1,True,2019-05-22 11:39:00,2.025,ODP I also blame the morons that run company for not doing anything to stop the stock bleeding from 376 to 2 Where is the Buyback shares here Very disappointed
Tradelike1,True,2019-05-22 11:36:00,2.025,ODP This a Fuckup Manipulations by Shorts Hedges Funds Criminals against Office Depot The company still delivered 277 billion in Q1 The company still had profits 7cent a shares despite the challengesThe price drop to 2 is illegal and not justified by morons analysts
Tradelike1,True,2019-05-22 10:07:00,2.028,ODP Second Quarter will be better with all the major restructuring that Office Depot is having on place and you Shorts evil will get yours harder
