stockmarketintellects,,2019-05-22 14:34:00,150.39,What analysts predict for Deckers Outdoor Corp DECK 4Q19 stockmarketintellectscomw
sell1buy2,True,2019-05-22 11:25:00,149.66,DECK or into low 150s ahead of EPSkeep forgetting they are due out tomorrow afternoon not today
sell1buy2,True,2019-05-22 11:21:00,149.94,DECK I would not be surprised to see the stock trade toward 150152 area today U hear good thingsbut Im an investor the robots may have another view
sell1buy2,True,2019-05-22 11:11:00,149.627,DECK correction EPS out tomorrow after the close not today
sell1buy2,True,2019-05-22 11:10:00,149.67,DECK got 2 Upgrades over past week Susq from Neutral Positive on 514 and BAML from Neutral BUY yesterday Normally when you get uipgrades ahead of EPS like this the analyst has done some work and usually is right EPS after the bell today
EstimizeAlerts,,2019-05-22 11:03:00,149.865,Heres what 5 Estimize analysts believe DECK will report for Q1 2020 EPS Reporting 0725 AMCestimizecomintrodeckcha
