Chongrejo10,True,2019-05-22 15:34:00,1.936,IMGN whos holding for ASCO
Stradioti9,True,2019-05-22 15:15:00,1.955,IMGN
peckdi,True,2019-05-22 14:36:00,1.955,IMGN
BMWLTWM3,,2019-05-22 14:03:00,1.952,CDMO IMGN AVEO SENS JCP Relief starts in 2 minslets go Powell tell WS want they want to hear but do it right in the language they gave you either way you can lose Fed is looking at cutting interest rates oh thats fantastic more money for consumers but wait a minute thats bad the economy must be in troublenope its Trump tweets on tradenone of it is North Korea Putin Iran Immigration severe weather tornados Venezuela borders measles or just drinking water in AmericaWall Street taking care of Wall Street
BMWLTWM3,,2019-05-22 13:35:00,1.945,IMGN AVEO SENS CDMO JCP ok Wall Street Children you can all stop selling now Jerome Powell is going to talk to you all at 200 in class today so you can stop panicking After he is done Trump will Tweet something that you can install fear over Then you can steal your mothers handbag for cocaine money Then you can cheat on your partners after martinis and steaks at dinner Tomorrow you can start the nonsense all over again and make millions of dollars for your Pimps that lead you into the mob family of your choice Do you steal cars on the side Am I still LMAO nope Disgusted and really pissed off at my self what a hole I have dug all with the euphoria of making a living as a two bit retail investorbuzzer sounds
BMWLTWM3,,2019-05-22 13:18:00,1.933,IMGN this is going to sit here for a while Death grip by Wall Street
gfili001,True,2019-05-22 13:04:00,1.935,IMGN people are stacking big amounts of shares
ChartMill,,2019-05-22 12:19:00,1.945,Accelerating growth IMGN is expecting stronger growth in the upcoming 2 years than in the passed 5 years chartmillcomanalyzephpu
AssMaster5000,False,2019-05-22 11:11:00,1.945,IMGN Just got back and people are still buying this No support until it reach 190 I pray for anyone who bought above There will be an offload unless someone yolo buys this crap New target Is below 190 Good luck
bmajor,,2019-05-22 10:59:00,1.949,IMGNAdded to position Average at 198
AssMaster5000,False,2019-05-22 10:32:00,1.985,IMGN Seems Ben roper Is hurt He must have bought In at 199 like a sucker Asmmaster will spend your money on bitchs and coke I will also be stopping by your home to get my shoe shined later Be ready you scrub
bmajor,,2019-05-22 10:25:00,1.985,IMGN Bitchmaster has been blocked
AssMaster5000,False,2019-05-22 10:16:00,1.965,IMGN You on the ride of broken dreams Wait until the buyers stop buying this crap You will fight for the supply of buyers at light speed
AssMaster5000,False,2019-05-22 10:14:00,1.952,IMGN Those caught on the top will add to the selling pressure later Stop buying above 190 Wait until Its below and by that time your weak hands and sellers will be out the market Until then there will be tears
AssMaster5000,False,2019-05-22 10:04:00,1.977,IMGN Wait until the other people who bought yesterday wake up There going to shit on the market If they do not see It went up
AssMaster5000,False,2019-05-22 10:03:00,1.975,IMGN ouch here comes more dumps Get out and sell at market price before you have to compete to escape
blackfish10Twits,,2019-05-22 09:54:00,2,IMGN Price action flatting KevinWolcott 2wired2trade shummyanyone is this
bmajor,,2019-05-22 09:52:00,1.986,IMGN this guy is a moron
AssMaster5000,False,2019-05-22 09:51:00,1.985,IMGN 32000 shares popped up to be sold and and 4000 buyers Support will crumble Good luck to those who bought In to swing I will sit around to hear the screams In an hour
Prudvi1,True,2019-05-22 09:50:00,1.98,IMGN
AssMaster5000,False,2019-05-22 09:49:00,1.99,IMGN Many people are expecting this Great Pop Wont they dont know Is we shorted this ages ago We can take profits and repeat If this does not go up the buyers will be sellers and you will all pay for my massage and happy ending today
twointhepinksheets,True,2019-05-22 09:46:00,1.988,IMGN
AssMaster5000,False,2019-05-22 09:43:00,1.98,IMGN You want to make money you set a buy order at 190 or 191 and wait for the needy to offload cause Its not going anywhere Then sell when It pops off Dont get caught In the trap
AssMaster5000,False,2019-05-22 09:41:00,1.965,IMGN Wait to buy this That dump Is coming soon going to drop 5 cents with ease No buying pressure to climb Do not get caught In the trap
Prudvi1,True,2019-05-22 09:40:00,1.97,IMGN 205 today
AssMaster5000,False,2019-05-22 09:38:00,1.964,IMGN We going to 193 my friends
AssMaster5000,False,2019-05-22 09:37:00,1.962,IMGN Selling pressure coming up I would wait to buy or get It cheaper No need to climb over each other for cheap shares
AssMaster5000,False,2019-05-22 09:36:00,1.956,IMGN Would not be surprised If someone with 100k shares wait until volume increase and then dumps on the market
AssMaster5000,False,2019-05-22 09:35:00,1.955,IMGN We going down my friends Buyers do not want to climb over each other
