Cathy44,True,2019-05-22 13:24:00,36.86,CHGG SHOP 1 and 2 Chegg needs some love investorplacecom2019056
joshuarodriguez,,2019-05-22 10:24:00,37.291,LRN TAL GAXY CHGG INST will likely be the winners in the education tech space financeyahoocomnewsstoc
joshuarodriguez,,2019-05-22 10:08:00,37.125,LRN TAL GAXY CHGG INST will likely be the winners in the education tech space cnafinancecomobalonthera
