BDeepAndThrusting,,2019-05-22 12:03:00,48.35,SSTI MSCI add for 531
pubslayer,True,2019-05-22 11:56:00,48.405,SSTI doesnt explicitly mention SST but from CO so reference to technology is obvious The drum beats louder
pubslayer,True,2019-05-22 09:31:00,48.445,SSTI great to see Newport News VA deploying Maybe Richmond will come around
