vinniyo,,2019-05-22 15:58:00,1.965,OPK fuck
EquityFeedAlerts,,2019-05-22 15:47:00,1.975,BLOCK TRADE Microcap OPK 250090 shares 198 154314
EquityFeedAlerts,,2019-05-22 15:46:00,1.975,BLOCK TRADE Microcap OPK 461600 shares 200 154518
Fixaleg,False,2019-05-22 15:40:00,1.975,OPK for all the doubters just look at the share price chart history of screwed up deliverables history of poor product ramp history of overstating market opportunities history of under delivering word of the moment look at the history There is always HOPE and POTENTIAL and dont forget the INSIDER BUYINGbut look at the 1 2 5 10 year chart pattern to get the REAL perspective on this cash burning dung pile
MrValentine,,2019-05-22 14:55:00,2,OPK for all the doubters just look at the list of big institutions taking or increasing their positions
zaza1,True,2019-05-22 14:53:00,2.002,OPK buy frosty buy
MrValentine,True,2019-05-22 14:39:00,2.005,OPK This company is making much more money than Uber
MrValentine,True,2019-05-22 14:39:00,2.005,OPK Get ready for a strong close
Fixaleg,,2019-05-22 14:34:00,2,OPK here is an idea buy some BMY and CVS to bottom fish for a real company with revenues versus slopko imo
Fixaleg,False,2019-05-22 14:32:00,2.001,OPK let this thing flush toilet into that 18x area for a buy if wanting to get cheap shares Patience here is on the side of the downward trend which is ever present for a reason lack of results lack of potential lack of leadership lack of revenues lack of progress lack of products key word of the day here is LACKING
PhilFreakingFrost,,2019-05-22 14:24:00,2,OPK These pretend geniuses who try to call the bottom should be respecting the shorts instead of bashing them Theyre on a 4 year winning streak Heck even Brady never won 4 in a row
StockFreedom,,2019-05-22 13:44:00,2.012,OPK why would a short cover here Trending
StockFreedom,False,2019-05-22 13:40:00,2.01,OPK steaming dung is sinking Free rides on this and Titanic jump aboard newbie experts
Fixaleg,False,2019-05-22 13:14:00,2.017,OPK how about a show of hands for anybody brave or foolish enough to be buying shares today doesnt include short covering as we know they have made a killing on this steaming pile of dung
Bromus,,2019-05-22 12:37:00,2.014,OPK Watchin waiting for possible entry around 195 area with a tight SL Seems like there are some active bears here so may need to consider the situation a bit more
tradertrash,False,2019-05-22 12:23:00,2.011,OPK just get the feeling its another frosty deal great for UnitedHealth great for employees but shareholdersnot so much
Fixaleg,False,2019-05-22 12:07:00,2.013,OPK show of hands who believes what this company says about their product opportunities outlook forecasts and last but not least great potential Give this some huge hands up to show the trusting and dedicated investors committed to this steaming pile of dung
Fixaleg,False,2019-05-22 11:26:00,2.015,OPK still see the lower bollinger band as any first area of support which is now 185 as others have also pointed out The bigger picture of the chart on weeklymonthly very bearish and pointing towards 14x area for support most likely With the upcoming dilution and lack of progress on any meaningful front there is no reason to be long here imo
blancobull,,2019-05-22 11:23:00,2.013,OPK yay so consistent
tradertrash,False,2019-05-22 11:08:00,2.001,OPK havent heard any talk about how much brli will have to spend to keep UnitedHealth happy u know there will be some serious bucks spent on staff equipment upgrades to meet their Standards theyll be callin the shots now so well see how that works out
Fixaleg,False,2019-05-22 10:55:00,2.03,OPK consistently able to deliver on the continuation of a downward trend and for very good reasons when you examine their cash burn product mix pipeline dreams and their history of really poor delivery and overstatement of opportunities Sum of all fears as the movie goes
tradertrash,False,2019-05-22 10:55:00,2.03,OPK struggling to hold a 2 dollar sp tells u about all u need to know on the future prospects of this co with current ceo mngt Any future success will continue the borrowing overspending mismanagement that has plagued the past
tradertrash,False,2019-05-22 10:39:00,2.045,OPK frosty has disappointed too many times and damaged co credibility sp is a vote of no confidence
