srf,True,2019-05-22 15:35:00,22.913,THC I like the look
Cousin_Vinny,True,2019-05-22 15:06:00,22.837,REGN Healthcare and big cap bio THC UNH VTRX XLV IBB theclosingprintcomCVBlog
Cousin_Vinny,True,2019-05-22 14:51:00,22.62,THC following these on the dip nice gains off the lows per BLOGPOST this AM theclosingprintcomCVBlog HUM UNH CNC note money flow
Cousin_Vinny,True,2019-05-22 14:48:00,22.61,THC trading room reentry on the dip per the morning BLOGPOST and FT channel breakout theclosingprintcomCVBlog
JAMESYOO1605,True,2019-05-22 12:03:00,22.497,FMCA THC BIOMES CA Triple bottomJust start buy and hold
