tasermac,,2019-05-22 15:52:00,68.27,AAXN Dominating the spaceJust getting startedWHERES THE COMP youtubecomwatchvK8EzML
ChartMill,,2019-05-22 12:26:00,68,AAXN The EPS growth is accelerating in the next 2 years the growth will be better than in the last years chartmillcomanalyzephpu
fla,,2019-05-22 12:02:00,68.06,AAXN Press Release published article on May 22 123000 Axon Partners with Chicago Police Department for First VR Empathy Training Pro prnmediaprnewswirecom443
fla,,2019-05-22 11:43:00,67.986,AAXN Press Release published article on May 22 123000 Axon Partners with Chicago Police Department for First VR Empathy Training Pro prnewswirecom443newsrel
livetraderalerts,,2019-05-22 11:39:00,67.92,AAXN 90m ago Axon Partners with Chicago Police Department for First VR Empathy Training Program Debuts New Autism Empa prnewswirecomnewsrelease
StockStuffer44,True,2019-05-22 11:38:00,67.969,AAXN Partners with Chicago PD for first VR empathy training program debuts new autism empathy traininginvestoraxoncompressrel
StockStuffer44,True,2019-05-22 10:45:00,67.84,AAXN Stake boosted by Victory Capital Mgmt Inc as well as other institutionsmayfieldrecordercom20190
StockStuffer44,True,2019-05-22 10:25:00,68.07,AAXN Bexar County selects body camera coCommissioners also gave the Bexar County Sheriffs Office approval to negotiate a contract for body and dashboard cameras with Axon a company from Scottsdale Arizona The county has been trying to use bodyworn and incar dashboard cameras for years adding funding for cameras to the commissioners budget Sheriff Javier Salazar assured commissioners that accidental and purposeful video deletion would be very difficult to accomplish on Axon cameras Serrato said he did not have an estimate for how much the cameras would cost The contract the sheriffs office is pursuing with Axon would be for 550 cameras The sheriffs department also evaluated cameras from the Dallasbased company WatchGuard
StockStuffer44,True,2019-05-22 10:09:00,67.955,AAXN Longmont Police latest Boulder County agency to start officer worn camera programdenverpostcom20190521l
