dsigreg,True,2019-02-22 12:13:00,8.152,BCS This was a good thing Way over done
dan87951,True,2019-02-22 09:58:00,8.185,BCS Barclays plan to initiate share buybacks has increased tangible book value 3 quarters in a row profits up 20 and yet stock falls
dan87951,True,2019-02-22 09:45:00,8.184,BCS If it goes under 8 I will double my position Banks ER was phenomenal considering the environment and was better than most competitors
