MarketBeatInsiderTrades,,2019-02-22 15:38:00,25.76,BJs Wholesale Club EVP Robert Eddy Sells 24570000 in BJ marketbeatcomstocksNYSEBJ
cctranscripts,,2019-02-22 12:06:00,25.525,EVP of BJs Wholesale Club Holdings Inc just cashedin 16290 options conferencecalltranscriptso BJ
cctranscripts,,2019-02-22 12:06:00,25.525,SVP of BJs Wholesale Club Holdings Inc just cashedin 5056 options httpwwwconferencecalltranscriptsorg4summaryid5818163 BJ
cctranscripts,,2019-02-22 12:06:00,25.525,EVP of BJs Wholesale Club Holdings Inc just cashedin 9100 options conferencecalltranscriptso BJ
