quaintsow1,False,2019-06-05 15:22:00,40.8,HFC buying puts hope this is the bottom but taken enough of a beating on my long Roth position
Turtletrading,,2019-06-05 12:09:00,40.349,HFC HollyFrontier HFC 3967 was the months biggest loser descending 14 Expect a Downtrend continuation tickeroncomappnewsSearch
danielrobertson,True,2019-06-05 12:02:00,40.321,DK Oil going to 48 and this is flying PBF HFC VLO MPC
danielrobertson,,2019-06-05 11:25:00,39.889,VLO oilpricecomEnergyCrudeO DK PBF HFC CVI CLMTMPC
danielrobertson,False,2019-06-05 11:00:00,39.45,VLO I am out for while gas prices 4 down again Brutal MPC PSX HFC CVI VLO
