whatcanido,,2019-06-05 15:57:00,2.855,HCLP 191 all time low is the same as SND Congratulations
BitcoinBear,,2019-06-05 12:39:00,2.97,EMES take a look at the best names in sand including SND HCLP CVIA SLCA And you think a bankrupt company with no cash and nobody that will give them a loan worst in breed technology services and products is going to make it Lol No position in any names here except a few worthless HCLP calls Will short all sand on any pop
BitcoinBear,,2019-06-05 12:01:00,2.95,HCLP has to catch up to CVIA SND Take this opportunity to pair trade No position other than a few worthless HCLP calls
