Alvis777,True,2019-06-05 11:58:00,4.27,YRCW
Turtletrading,,2019-06-05 11:19:00,4.199,YRCW YRC Worldwide YRCW 423 was the months biggest loser descending 41 Expect a Downtrend reversal tickeroncomappnewsSearch
Turtletrading,,2019-06-05 10:06:00,4.183,YRCW YRC Worldwide YRCW 423 was this quarters top loser falling 36 Expect a Downtrend reversal tickeroncomappnewsSearch
