EquityFeedAlerts,,2019-06-05 15:47:00,22.135,BLOCK TRADE CY 565370 shares 2213 154646
Lazio1982,True,2019-06-05 10:18:00,22.214,CY I am completely sold out Huge gain Just under 50 in 15 months or so Loaded with AMBA gotta take out 4510 w vol and LRCX MU
Lazio1982,True,2019-06-05 09:40:00,22.171,AMBA Scratched a bit more stock here LRCX MU CY
