CEOBuys,,2019-06-05 11:10:00,4.62,Go to ceobuyscom to learn more about SRAXs CEO They bought shares 5 times over the last years
captainjonesthe3rd,,2019-06-05 10:31:00,4.63,SRAX Instead of Facebook selling your data to the Russians you will be able to via blockchain decide who buys your data You want universal income Bigtoken has the answer
captainjonesthe3rd,,2019-06-05 10:30:00,4.68,SRAX we have it simple downloads continue to rise The MAGIC starts happening upon download NOT active use of app but once the data starts getting bought you will get more rewards for active use of the app DOJ and FTC coming after big tech and California Congress leading the charge
