TekATL,,2019-06-05 14:41:00,0.7561,IBIO watching
Simewin1,True,2019-06-05 12:22:00,0.7211,IBIO AEMD MRK Even our neighbor in BYRANTX is tracking us for merger CHINA BRAZILTEXASSAFRICA BUY
Simewin1,True,2019-06-05 11:39:00,0.78,IBIO AEMD Interesting board 12000 watching 700ML cap now 15ML NO FLOAT Merger any MINUTE come on board do DD NEW website
Simewin1,True,2019-06-05 10:46:00,0.778,AEMD IBIO we have a contract to produce with AEMD wonder finally FDA UP18
skitime,,2019-06-05 10:06:00,0.767,IBIO shorts report Very litle of short trades compare to Boeing and many other Co Litle profits for short trading Penny stock no volume no activity something shorts hate to be in Shorts usualy wait for a uge pop and large vol and get in at the highest price possible or if a very bad news is publish Very strange short trading activity here very
Simewin1,True,2019-06-05 10:02:00,0.7612,IBIO Need to jump in by Following us Merger king on the TEAM plenty of intelligent conversations going on Remodeled e DISCOUNT
ld789,,2019-06-05 10:00:00,0.7612,IBIO triatoma Ecelent analyse agree with a few remarks1 When u calculate BO PT from market cap u have to take in account the sries A and B that will be converted to common shres2 Didnt understand if u suggest isetts 4 months special task is to make the bride more handsome or to bring a wedding or both of them I suspect both of them if just more hansome what is cfos special task then 3 Imho the decision of restructuring the business model was between july and December 2018 when they decided to slow down the fibrosis too
skitime,,2019-06-05 09:48:00,0.75,IBIO Latest shorts report
