KeepRollin,,2019-06-05 15:56:00,1.335,ADMP keep pumping
beachsidefreddy,,2019-06-05 15:53:00,1.33,ADMP ONCE THE SHORTS RAN SHO EVERYTHING STOPPED WE DIDNT HAVE ENOUGH BUYING COMING BACK STILL ALL GOOD THIS IS BOTTOM
ElDonJuan,,2019-06-05 15:51:00,1.332,ADMP guess I owe P2Player a thank you for calling todays bottom Added that 126
URMessinUp,,2019-06-05 15:44:00,1.336,ADMP GO GO GO GO GO ITS DOING IT ITS REALLY DOING IT THIS IS IT SCAMSHIT
DetroitRobbie,,2019-06-05 15:23:00,1.339,ADMP 63M market cap fucking insane I remember when AncientAlien2 was talking about how crazy it was when we were like a 110M market cap Those were the days
R8Plus,False,2019-06-05 15:22:00,1.339,ADMP new future bag holders welcome Yesss welcome
jwillusmc,,2019-06-05 15:08:00,1.33,ADMP down 14k dollars
Gripen1982,,2019-06-05 15:00:00,1.33,ADMP yay we had a presentation We get to explain why we are paying leadership bigger salaries and bonuses and why we havent generated any revenue And we are paying more in salary and bonuses than symjepi has driven in sales
Erod70,,2019-06-05 14:56:00,1.33,ADMP Anyone see yesterdays slides yet
jeffs92,,2019-06-05 14:42:00,1.335,ADMP lol Whats the pumper monkey beachsidefreddy saying now He blocked me for no reason other than being realistic
pw3048,True,2019-06-05 14:36:00,1.336,ADMP i have learned so many lessons from this stock So many head bludgeoning painful lessons
P2Player,,2019-06-05 14:34:00,1.33,ADMP I say NO NEWS as it always has a negative impact Let this roll back up a bit
URMessinUp,,2019-06-05 14:34:00,1.33,ADMP HERE WE GO FOLKSSCAMSHIT
YorkTiger,,2019-06-05 14:33:00,1.33,ADMP when is the lawsuit being filed
BowenHardcase,,2019-06-05 14:29:00,1.33,ADMP Leave to Carlo to make longs miss the days when this was still two bucks
BillFingMurrayTwits,,2019-06-05 14:27:00,1.335,ADMP Astroboy56 kevin lets see who is better at making predictions
BillFingMurrayTwits,,2019-06-05 14:26:00,1.335,ADMP next few days
BillFingMurrayTwits,,2019-06-05 14:23:00,1.34,ADMP think its going to be okay See the thing with Groundhog Day is its predictable
beachsidefreddy,,2019-06-05 14:16:00,1.33,ADMP OK STEP BY STEP
ElDonJuan,True,2019-06-05 14:13:00,1.313,ADMP lol song of the dayyoutubecomwatchvuhGvLZ
ChartMill,,2019-06-05 14:02:00,1.31,ADMP is valued rather cheaply when comparing its price book ratio the industry average of 344 chartmillcomanalyzephpu
beachsidefreddy,,2019-06-05 13:57:00,1.33,ADMP HAAAAAAAAAAAAAAAAAAA SO OBVIOUS
ICU812,True,2019-06-05 13:56:00,1.33,ADMP good golly we sure could use some launch news right now in the infamous lyrics of Tom Petty were freefalling I may have to avg down again
beachsidefreddy,,2019-06-05 13:53:00,1.314,ADMP THERE WE GO
URMessinUp,,2019-06-05 13:50:00,1.3,ADMP IS CARLO OR SANDOZ INVOLVED IN A PAY TO DELAY SCHEME DOES CARLO EVEN WANT TO SELL ANY SYRINGES TO THE PUBLIC IN 2019 OR DID IT TAKE 1 FULL YEAR TO STOCK SANDOZ
URMessinUp,,2019-06-05 13:47:00,1.303,ADMP IM SO GLAD THIS WENT DOWN SO WE ARE ON SHO RESTRICTION AGGGGGGGGGHHHHHHHHHHHHHH BIG BIDS ITS HOLDING WELL AT 130 REVERSAL POINT CALLED BY BSF AN HOUR AGO SCAMSHIT
dinglebee,,2019-06-05 13:47:00,1.303,ADMP Eventually Carlo will be replaced
stockshakers4success,True,2019-06-05 13:27:00,1.31,ADMP anyone observing the number of Bids for ADMP
thecapster,,2019-06-05 13:27:00,1.31,ADMP I swear this stock is being run by a algo machine It keeps spitting out 100 and odd lot shares forever
InfoTheory,,2019-06-05 13:24:00,1.308,ADMP its so obvious this stock is manipulated but it makes you wonder whats the end goal Is it to make it easy for a buyout or just to short it down for profits Maybe both
und3rtheboards,False,2019-06-05 13:15:00,1.309,ADMP absolute trash Lost a lot of money on this one but I must say it is a relief to cut your losses and get out of this POS
YorkTiger,,2019-06-05 13:06:00,1.309,ADMP I just cant bear the thought of continuing to average down I feel like I am just throwing money away
bingonator,False,2019-06-05 13:05:00,1.304,ADMP Only idiot andor conniving desperate officers sell shares in measly 10000 share increments when their company is circling the bowl
Gripen1982,,2019-06-05 13:01:00,1.3,ADMP even with revenue people dont want this Sorry Carlo but you need to go immediately
beachsidefreddy,,2019-06-05 13:00:00,1.3,ADMP 35000 BID 130THE RETURN BEGINS
BowenHardcase,,2019-06-05 12:50:00,1.309,ADMP I bet there are a lot of new members to the only need 200 to break even club today Dont get me wrong theres hope this eventually turns around but its months if not years away still And a lot of shit can go sideways in the meantime especially with Carlo at the helm They need to launch Symjepi and it needs to sell really well out of the gate They need to get rid of these legal issues quickly They need to make deal on Zimhi prior to approval and be ready to run once the FDA gives go ahead If theyre confident in product and symject tech then time to take risk and get ahead of things now They need to reactivate pipeline Sitting on hands and collecting paychecks and bonuses all summer while waiting on Sandoz and FDA to do their stuff is a bunch of bullshit Get to work Carlo They need to sell the fing company Itll be for pennies compared to what its worth and what they couldve gotten had they not screwed things up so much
houseoflearneddoctors,,2019-06-05 12:50:00,1.309,ADMP this shit has the HIVno wants to touch it Sad
