bugman6221,,2019-02-11 15:58:00,3.914,VUZI My arms are getting tired
Invest9876,,2019-02-11 11:11:00,3.858,VUZI The tech is actually worth 30 per share But 15 is enough for most shareholders and that would be easy to get
Terzman,,2019-02-11 11:11:00,3.858,VUZI kopin raise clearly shadow on sector again kopin old tech hey board of directors Ill be there in June unacceptable silence
Pizmo,True,2019-02-11 11:11:00,3.858,VUZI Who has the most to lose PT 26m shs who has the most to gain PT Sell and retire with bank
growacet,,2019-02-11 11:10:00,3.86,VUZI When PPS was 11 Pumpers were saying the tech was worth 30 or 40market says nope
Invest9876,,2019-02-11 11:10:00,3.86,VUZI Shareholders have the power not Paul Travers Its time for you to unite and tell Paul whos in charge paultraversvuzixcom
ALLinCLEVELAND,True,2019-02-11 11:09:00,3.877,VUZI hey Paul if youre so confident then why not make YOUR salary performance based If not you know its time to sell the damn co
Invest9876,,2019-02-11 11:08:00,3.877,VUZI Vuzix has great waveguide tech and patents They are worth 15 dollars per share easy Actually much more but 15 is enough for most
randcap,True,2019-02-11 11:07:00,3.877,VUZI I said it would be a long stretch on the tail of CES until earnings Couldnt imagine such a meltdown Unreal Worst time for quiet
growacet,False,2019-02-11 11:07:00,3.877,VUZI heading back to nano cap status Maybe google would pay 40 million like they did with that smartwatch company
Invest9876,,2019-02-11 11:06:00,3.877,VUZI It would be that easy
Invest9876,,2019-02-11 11:05:00,3.877,VUZI So shareholders should fire Paul and hire new CEO to do the job
Invest9876,,2019-02-11 11:05:00,3.877,VUZI If Vuzix would hire an investor banker to sell the company we would easily get 15 dollars per share But Paul doesnt want to do it
ALLinCLEVELAND,True,2019-02-11 11:02:00,3.877,VUZI hey board do your job this ONE time sell the company and free the shareholders
joodles33,True,2019-02-11 11:01:00,3.877,VUZI edmcgregorvuzicom mattmargolisvuzicom need all to demand accountability 4 pent up demand Very dismal silence
Invest9876,,2019-02-11 11:01:00,3.877,VUZI Vuzixs tech is worth 15 dollars easily But Paul wont sell since its not in his best interest He wants to keep his job
ALLinCLEVELAND,True,2019-02-11 11:01:00,3.877,VUZI dont worry everything is cool in Rochester including the weather theyre all getting paid on time Thank you shareholders
growacet,False,2019-02-11 11:00:00,3.864,VUZI last January at 10 pumpers were saying a PPS like 7 would never happen now bagholders would be happy to see 4 again
Invest9876,,2019-02-11 11:00:00,3.864,VUZI The tech is GREAT and has a lot of value But Paul is ruining it by poor management He just hasnt have the skill set to do it
Invest9876,,2019-02-11 10:59:00,3.87,VUZI Look at my past posts Im a long time holder At some point everyone just needs to realize that Paul isnt the right man for the job
godlesstrader,False,2019-02-11 10:59:00,3.87,VUZI sayonara
SKIPDAWG,True,2019-02-11 10:57:00,3.874,VUZI how many accounts must growacet have Funny guy
Invest9876,,2019-02-11 10:55:00,3.88,VUZI So I suggest you team up and fire Paul if he doesnt show that he can actually do something useful Not just waste shareholders money
Invest9876,,2019-02-11 10:53:00,3.88,VUZI Shareholders have the power not Paul Travers He just keep milking his salary without any responsibility to shareholders
Invest9876,,2019-02-11 10:52:00,3.88,VUZI paultraversatvuzixcom You can tell him how you feel about his performance
Invest9876,,2019-02-11 10:51:00,3.878,VUZI By remaining silent Paul is telling all the shareholders that he doesnt care about them He just wants his salary and perks
Invest9876,,2019-02-11 10:50:00,3.897,VUZI Paul and Grant only have 15 ownership and never participate on offering So shareholders can fire them easily
Invest9876,,2019-02-11 10:49:00,3.88,VUZI But Paul doesnt want this to happen since that would mean he cannot continue as CEO So he is making sure noone will make an offer
Invest9876,,2019-02-11 10:48:00,3.894,VUZI I can assure you that their tech is good enough so that many companies are willing to bid on the tech and patents
randcap,True,2019-02-11 10:48:00,3.894,VUZI its cool how this is down 3 everyday That feels nice when your super jacked long from 7
Invest9876,,2019-02-11 10:48:00,3.894,VUZI Theres an easy solution to fix this Lets FIRE PAUL and sell the company for highest bidder
ALLinCLEVELAND,True,2019-02-11 10:34:00,3.95,VUZI how does this managementboard still have a job is beyond me
herbscore,,2019-02-11 10:29:00,3.942,VUZI Excited at the return we get on PTs 750Kyr comp package Hope you are too
dontknowgoat,,2019-02-11 10:09:00,3.96,VUZI damn this stock really has taking a nose dive so bad I am out of patience with this pos anyone else
9CrazyFingers,,2019-02-11 10:07:00,3.96,VUZI can we all agree that management sucks
NinoBrownCMB,,2019-02-11 10:04:00,3.96,VUZI BULLPILL still BITCHPILL to me
Go4theGold,False,2019-02-11 09:58:00,3.937,VUZI Cant blame shorts on this one Travers ran this into the ground while getting 250K per year
randcap,True,2019-02-11 09:51:00,3.925,VUZI things getting spicy Feels like we are going to spike down today on volume
MikeLikesCheddar,True,2019-02-11 09:50:00,3.924,VUZI 04282018 Anybody know where were at in this deal
godlesstrader,False,2019-02-11 09:49:00,3.935,VUZI Big day today We either bounce or fall into no mans land
knvbish,,2019-02-11 09:41:00,3.99,VUZI engadgetcom20190210goo
