livetraderalerts,,2019-02-11 15:37:00,188.042,STMP 22m ago SEC Amended Beneficial Ownership Report SC 13GA stampscom INC secgovArchivesedgardata
onelia,,2019-02-11 13:57:00,187.29,STMP strong buy
onelia,,2019-02-11 13:54:00,187.58,STMP
EstimizeAlerts,,2019-02-11 13:37:00,188.439,Estimize revenue expectations are 012 higher than that of Wall Street for STMP Q1 Reporting 0502 AMCestimizecomintrostmpcha
EstimizeAlerts,,2019-02-11 12:50:00,188.706,Estimize EPS expectations are 103 higher than that of Wall Street for STMP Q4 Reporting 0220 AMCestimizecomintrostmpcha
