Doozio,True,2019-02-11 15:21:00,41.29,GH so coiled
homer212,,2019-02-11 14:18:00,40.856,GH the tam for this co is all humans tam for tsla is rich white people on the coasts
homer212,,2019-02-11 14:17:00,41.04,GH 200000 people follow tsla which hasnt moved in 5 yrs and will have 17 rev growth 500 only follow this co that has over 100grwth IBB
homer212,,2019-02-11 14:05:00,40.734,GH No one follows this monster IBB
