brentpdc101,,2019-02-11 15:59:00,8.26,BB huge buyout coming
VFtrader,,2019-02-11 15:58:00,8.255,BB Lots of kids posting today Since they always say the same stuff over and over StockTwits should find a way to get rid of these trolls
Partridge,False,2019-02-11 15:57:00,8.255,BB 666
TechTrader7379,True,2019-02-11 15:57:00,8.255,BB 2 and its trending truly amazing
IWasWrong,False,2019-02-11 15:56:00,8.255,BB Quick This is your time to get out
GoodNewsBull,True,2019-02-11 15:54:00,8.265,BB Wow Vol for this time of the month is a little heavier than normal Have to think any Bears are really over their skies trying too hard
bvr,,2019-02-11 15:53:00,8.259,BB AAPL is great innovative massive and relevant Peace ok
jpic,True,2019-02-11 15:52:00,8.255,BB gap to 9 incoming
ethen408,,2019-02-11 15:50:00,8.255,BB expecting big buy at Close
NWtraveler,,2019-02-11 15:49:00,8.255,BB wow only 630 to get back to last January my friends 32K shares are still way down Long strong BB
YouOnlyLiveTwice,True,2019-02-11 15:48:00,8.255,BB Big player w 5G expansion
bvr,,2019-02-11 15:48:00,8.255,BB motivated buyers today so far U come back tomorrow price will be higher
GoodNewsBull,True,2019-02-11 15:46:00,8.258,BB Hopefully the Prop Traders can see those Bids building cover before 831
bvr,,2019-02-11 15:42:00,8.255,BB close C1103 would be nice for today
william45,,2019-02-11 15:41:00,8.254,BB If this runs up at the close I think we finally get some news The regular pattern is a collapse like a souffle when the oven is opened
DDelta,,2019-02-11 15:37:00,8.251,Perhaps that Cylance deal approved or the Executive order for IT Security Perhaps Mr Giuliani knows were waiting 4 15 year BB
GoodNewsBull,True,2019-02-11 15:36:00,8.251,BB 300k shares in the last 5 mins It keeps showing the hand of any HF left Short Trying to slam it w a heavy move down doesnt work
CDCWHO,,2019-02-11 15:36:00,8.251,BB YEAR OF PIG
TAXANDSPEND,True,2019-02-11 15:35:00,8.25,BB this is a 50 dollar stock like DELL They aint making money on hardware AAPL will suffer soon
ethen408,True,2019-02-11 15:35:00,8.25,BB mark the day bidding war started between bears and bullish We prevail go
Dugstr2,,2019-02-11 15:33:00,8.265,BB volume picking up too
TechTrader7379,True,2019-02-11 15:33:00,8.265,BB Longs on this board dont seem to understand the concept of spinking the ball on the 5 yard line or jinxing a move SHHHHHHH
gwlsn,True,2019-02-11 15:31:00,8.257,BB something cooking are shortys
yuusaku1010,,2019-02-11 15:30:00,8.255,BB something is cooking
gwlsn,True,2019-02-11 15:29:00,8.259,BB Would not want to be shortys ulcer when the trade halt hits
DDelta,,2019-02-11 15:26:00,8.225,I am a Bit impressed CA went down yet BB is slowly climbing
GoodNewsBull,True,2019-02-11 15:24:00,8.221,BB Paul Tudor Jones Bullish on the US Mrkts Great headline he moves Mrkts Now lets just break 831 o
gwlsn,True,2019-02-11 15:20:00,8.223,BB a very very good buy sh or the company
bvr,,2019-02-11 15:14:00,8.225,BB make your pennies or make your dollars Up to you Just get on or move on
GoodNewsBull,True,2019-02-11 15:13:00,8.223,Cylance is the real deal so BB just looks so undervalued right now its scary Chens genius took some some butYep a Sybase turnaround
bvr,,2019-02-11 15:11:00,8.23,BB it was 9 when Cylance was announced So do you understand how ridiculous this is It should be 16 NOW
gwlsn,True,2019-02-11 15:11:00,8.23,BB Up on down day tomorrow up day lookout
makescents,,2019-02-11 15:11:00,8.23,BB Maybe the Trump order is to block all AI company sales
ACInvestorBlog,True,2019-02-11 15:08:00,8.233,BB holding up nicely its EMA50 Over 838 we could see a nice rally targeting the 9 area
firelake4,,2019-02-11 15:08:00,8.233,BB Why is the king of AI security trading at a failed cell phone company valuation
bvr,,2019-02-11 15:07:00,8.23,BB Cylance can set Cybersecurity standard and AI standard on Cybersecurity JC has positioned this ship in the fore front
Antelope_93,True,2019-02-11 15:05:00,8.238,BB
bvr,,2019-02-11 15:03:00,8.23,BB AAII Got it
TAXANDSPEND,True,2019-02-11 15:03:00,8.23,BB boom boom boom lets go back to my room Ive taken real losses made mistakes Still around locking in gains minimizing downside
GoodNewsBull,True,2019-02-11 15:03:00,8.23,BB Wow Trump about to sign an Executive Order to create AI who just bought Cylance Folks Chen is so far ahead its scary
bvr,,2019-02-11 15:01:00,8.225,BB at this level price is ridiculously inexpensive
Karee,True,2019-02-11 15:00:00,8.235,BB Green in a sea of red an we are not trendingthanks god
GoodNewsBull,True,2019-02-11 14:59:00,8.235,BB Kicking the NASs butt again Up almost 2 QQQs red There just not enough shares less less moving into a great ER
william45,,2019-02-11 14:58:00,8.242,BB Looking very nice today Liking it creep up as the day progresses Now just hold on to the gains
helpfulPossum,,2019-02-11 14:57:00,8.241,BB Buy it up buttercup
B1B,True,2019-02-11 14:45:00,8.216,BB Funny thing I had trolls blocked unblocked to see them squirm now they have me blocked
YOSIMITESAM,True,2019-02-11 14:42:00,8.213,BB TRIPLE WHAMMY coming cylance ER and JEDI
Zenas,,2019-02-11 14:33:00,8.195,BB first Eagle sold 214M shares or about 50 and has 207M shares remaining
makescents,,2019-02-11 14:29:00,8.195,BB Wall talk coming tonight
makescents,,2019-02-11 14:26:00,8.197,BB Seems like Friday all over again if you catch my drift
snowy2012,True,2019-02-11 14:24:00,8.195,BB ready to fly
B1B,True,2019-02-11 14:20:00,8.2,BB boring until its not SHLDQ already a ten bagger
firelake4,,2019-02-11 14:01:00,8.215,BB Who is the AI security leader Asking for a friend
NWtraveler,,2019-02-11 13:59:00,8.211,BB would 2018 being down over 40 be considered a not so bad year for BB Asking for a friend
B1B,True,2019-02-11 13:57:00,8.21,BB Top Ten Cool
B1B,True,2019-02-11 13:56:00,8.204,BB Something about to happen again and again
jpic,True,2019-02-11 13:55:00,8.204,BB until then we grind higher
jpic,True,2019-02-11 13:55:00,8.204,BB trend line and 200 day incoming around 9 at earnings Then we get real movement
B1B,True,2019-02-11 13:51:00,8.205,BB Rockin rocket
EstimizeAlerts,,2019-02-11 13:51:00,8.205,BB analysts on Estimize are expecting 089 YoY revenue growth for Q4 up from 298 in Q3 Reporting 0327 BMOhttpwwwestimizecomintrobbcharthistoricalmetricnamerevenueutmcontentBButmmediumrevenuegrowthutmsourcestocktwits
ChowCapital,True,2019-02-11 13:47:00,8.204,Ah hahahaha Market down BB up another one of those not so bad day eh
B1B,,2019-02-11 13:41:00,8.2,BB Judge said just cause FB and SNAP
Michael_Caine,,2019-02-11 13:38:00,8.21,BB Tell me when JC finally wakes up What a joke no news for month this got unbelievable boring and this is a growing phase POS
Smoother,,2019-02-11 13:32:00,8.194,lesterassetcomgetmediacaBB Value manager Lester Financial takes a top position in BlackBerry
jjvesh,True,2019-02-11 13:20:00,8.205,BB Whatta we got here
johnblasbury,True,2019-02-11 13:11:00,8.194,BB if QNX get a funding of 200 it will propels the s p about 8 easywaiting until Thursday Valentines my Valentines
Michael_Caine,,2019-02-11 13:07:00,8.213,BB He likes to keep everything in the dark We can be lucky when JC provides us with any Cylance news until ER
Antelope_93,True,2019-02-11 13:06:00,8.205,BB
NeoRye,True,2019-02-11 13:04:00,8.223,BB The American AI Initiative
BadNewsBunny,False,2019-02-11 13:01:00,8.185,BB Since there seems to be an identity crisis maybe we should classify BB as a Charitable company They love giving away shareholder
bvr,,2019-02-11 12:50:00,8.175,Lol FB thinks everything is free to use including user data snap chat features copying and BB IPs
bvr,,2019-02-11 12:47:00,8.183,Will AAII benefit BB Cylance AI business reuterscomarticleususa
Karee,True,2019-02-11 12:14:00,8.168,BB Were waiting for Godot D
Threegap,,2019-02-11 11:37:00,8.145,BB I bet some of you may own more shares than what has traded Lol
bvr,,2019-02-11 11:35:00,8.145,Check out AlexThurbers Tweet twittercomalexthurberstBB shows off in MWC19
bvr,,2019-02-11 11:27:00,8.165,Perfect podcastto describe the next gen Digital Transformation Protection with 1 Cylance ML AV 2 BB Workspaces to protect DATAfedscoopcompodcastshutf
BadNewsBunny,False,2019-02-11 11:23:00,8.162,BB up 5 cents Meanwhile Congrats toOKTA RPD CYBR SPLK TWLO and fellow Canadian tech firm SHOP for hitting new ALL TIME HIGHS
Kazzz,,2019-02-11 11:20:00,8.162,BB Shorty being played AGAIN
B1B,True,2019-02-11 11:12:00,8.132,BB
DDelta,,2019-02-11 11:01:00,8.17,Hidden Value 3 Drivers Can Push This Tech Stock Higher foolca20190210hiddenvBB
ChowCapital,True,2019-02-11 10:36:00,8.175,BB Let this play out
MoebetterBB,True,2019-02-11 10:24:00,8.14,BB We need ChowCapital GNB and REALALOY and others to keep playing their parts and igniting this boardRally the troops
MoebetterBB,True,2019-02-11 10:22:00,8.165,BB for failure is not an option in his vocabulary
NWtraveler,,2019-02-11 10:22:00,8.165,BB perma BB update 412015BB 818 2112019BB 818 Turnaround imminent
MoebetterBB,True,2019-02-11 10:21:00,8.165,BB So quiet Rest assured fellow bulls Chen is working hard for shareholders
Anstin,,2019-02-11 10:16:00,8.156,BB Rogers updates enabling WiFi calling crackberrycomrogersupdat
johnblasbury,True,2019-02-11 10:10:00,8.15,BB big money for QNX coming on the 15 a lot Over anything you may think
YOSIMITESAM,True,2019-02-11 10:07:00,8.145,BB heres what AI BEAR looks like 3 nanna seconds later
YOSIMITESAM,True,2019-02-11 10:03:00,8.125,BB they are called AI bears or QUATUM bearsjust evolving made by ISARA CYLANCE such is future of AI
ColbyX,False,2019-02-11 10:02:00,8.13,BB Wonder what happened to those bull traders buying the 818 nobrainer last weekDid you sell for a loss Holding red LOL
ColbyX,False,2019-02-11 09:59:00,8.111,BB Bull money has been parked here for 6 yearswith nothing to show for ityet oooh sooo bullish still LOL
zack800,,2019-02-11 09:54:00,8.155,BB Why Canada has become a target for abusive short sellerscbccanewsbusinessshort
jjvesh,True,2019-02-11 09:51:00,8.139,BB Go red time
Michael_Caine,True,2019-02-11 09:45:00,8.155,BB Cylance news where are you
eyedoc00,True,2019-02-11 09:42:00,8.16,BB Trump to sign executive order to increase the adoption and development of AI Huge for CYLANCE and BB security
johnblasbury,True,2019-02-11 09:39:00,8.17,BB Does anyone know how much will QNX get on the 15 200 Millions or more Thanks Canada for your support
StocksandSeeds,True,2019-02-11 09:35:00,8.18,BB The change is happening and the bears cant stop it
YOSIMITESAM,True,2019-02-11 09:34:00,8.164,BB cylance sproutin fast since bought cy partnered w cuju and aws for cloud svs plus in japan already iit japan inc for MSSP rev incomng
