oreocookee,,2019-02-11 14:22:00,43.94,PZZA short it for scalp
CalStockPicker,True,2019-02-11 14:04:00,43.871,PZZA holding up nicely ENDP next leg up
EstimizeAlerts,,2019-02-11 13:42:00,43.718,PZZA estimates distribution heres what 7 Estimize analysts are expecting PZZA to report for Q1 Reporting 0507 AMCestimizecomintropzzacha
EstimizeAlerts,,2019-02-11 13:42:00,43.718,PZZAs Nth Am Sys Wide Comp Sales is a key growth metric for their next report on 0507 AMC Will they beat last quarters Nth Aestimizecomintropzzacha
EstimizeAlerts,,2019-02-11 12:56:00,43.729,Heres what 20 Estimize analysts believe PZZA will report for Q4 2018 EPS Reporting 0226 AMCestimizecomintropzzacha
EstimizeAlerts,,2019-02-11 12:55:00,43.694,PZZA analysts on Estimize expect 8503 YoY growth in Nth Am Sys Wide Comp Sales for Q4 up from 20263 in previous year Reportestimizecomintropzzacha
VolumeBot,,2019-02-11 09:40:00,43.759,Per data reported to FINRA short volume divided by total volume for PZZA was 7027 on 020819 volumebotcomsPZZA
