Doozio,True,2019-02-11 12:28:00,20.392,IEC today reminds me of INS last summer Sometimes they grow up n get out of the ghetto Molder
Id_rather_be_golfing,True,2019-02-11 11:55:00,20.904,INS Updated short interest numbers for the end of Jan will be posted after the close today httpwwwwsjcommdcpublicpage23062shtamexIlistinghtml
Id_rather_be_golfing,True,2019-02-11 11:48:00,21.133,INS The large seller is back its worked so well at 9 11 15 etc stocktwitscomIdratherbestocktwitscomIdratherbe
