zount82,True,2019-02-11 13:24:00,49.295,GBT Some hedge fund is shorting Leave my portfolio alone
cctranscripts,,2019-02-11 13:13:00,49.559,Janus Henderson Group plc EIN just provided an update on share ownership of Global Blood Therap conferencecalltranscriptso GBT
livetraderalerts,,2019-02-11 13:05:00,49.453,GBT 20m ago SEC Amended Beneficial Ownership Report SC 13GA Global Blood Therapeutics Inc secgovArchivesedgardata
risenhoover,,2019-02-11 13:04:00,49.457,Henderson Group Plc has filed an amended 13GA reporting 45 ownership in GBT httpsfinteliosousgbt
cctranscripts,,2019-02-11 12:56:00,49.305,The Vanguard Group just provided an update on share ownership of Global Blood Therapeutics Inc httpwwwconferencecalltranscriptsorg13Gsummaryid5756970 GBT
livetraderalerts,,2019-02-11 12:53:00,49.787,GBT 19m ago SEC Amended Beneficial Ownership Report SC 13GA Global Blood Therapeutics Inc secgovArchivesedgardata
cctranscripts,,2019-02-11 12:03:00,50.075,Janus Henderson Group plc EIN just provided an update on share ownership of Global Blood Therap httpwwwconferencecalltranscriptsorg13Gsummary2id5756463 GBT
risenhoover,,2019-02-11 11:41:00,49.9,Henderson Group Plc has filed an amended 13GA reporting 45 ownership in GBT httpsfinteliosousgbt
livetraderalerts,,2019-02-11 11:33:00,49.94,GBT 22m ago SEC Amended Beneficial Ownership Report SC 13GA Global Blood Therapeutics Inc secgovArchivesedgardata
