MarketRealist,,2019-02-11 15:29:00,54.931,Will HollyFrontiers Earnings Rise in Q4 HFC MPC PSX VLO marketrealistcom201902w
EstimizeAlerts,,2019-02-11 10:35:00,55.285,Wall St is expecting 134 YoY revenue growth for HFC in Q1 in Q4 Reporting 0501 BMOestimizecomintrohfcchar
EstimizeAlerts,,2019-02-11 09:45:00,54.341,HFC estimates distribution heres what 6 Estimize analysts are expecting HFC to report for Q4 Reporting 0220 BMOestimizecomintrohfcchar
