signaljumper,True,2019-02-11 13:42:00,6.44,AKBA 550 than we are ready for 669 if we break and hold than the w formation is activ
Jordan78,,2019-02-11 09:57:00,6.263,AKBA easy double IMHO
Jordan78,,2019-02-11 09:57:00,6.263,AKBA never understood why 2 stock trading at 3 9 premerger now is at 6 Really 50 overvalued pre merger doubt it
