cybercash28,,2019-02-11 15:32:00,38.778,CIEN HH good closing setup QQQ XLK
InsiderForms,,2019-02-11 15:11:00,38.69,FTB Advisors Inchas filed Form 13F for Q4 2018Opened NEW positions in ATI ACA ANET ARRY ARWR ATRC BLRS BLUE CF CRZO CIEN CBSH
EstimizeAlerts,,2019-02-11 11:44:00,38.41,Heres what 11 Estimize analysts believe CIEN will report for Q1 2019 revenue Reporting 0307 BMOestimizecomintrociencha
InsiderForms,,2019-02-11 11:44:00,38.41,STEPHENS INC ARhas filed Form 13F for Q4 2018Opened NEW positions in APO ARES ACBFF BEAT BIF GOOS CDEV CIEN CLH RQI CFX CSOD
InsiderForms,,2019-02-11 10:41:00,38.398,PERKINS CAPITAL MANAGEMENT INChas filed Form 13F for Q4 2018Opened NEW positions in AKTS ATOM AVGR CIEN CREX ELGX IONS JAGX
