fredthebroker,False,2019-02-11 15:30:00,33.986,Z ZG Er dumpster fire only 2 weeks away Mass exodus
EstimizeAlerts,,2019-02-11 13:42:00,34.266,Estimize EPS expectations are 2825 higher than that of Wall Street for ZG Q1 Reporting 0506 AMCestimizecomintrozgchart
EstimizeAlerts,,2019-02-11 12:41:00,34.866,Estimize EPS expectations are 232 higher than that of Wall Street for ZG Q4 Reporting 0221 AMCestimizecomintrozgchart
