AnalystRatingsNetwork,,2019-02-11 11:14:00,17.727,Parsley Energys hold rating reiterated at Williams Capital 2200 PT httpswwwmarketbeatcomr1162629 PE
EstimizeAlerts,,2019-02-11 10:45:00,17.57,PE estimates distribution heres what 6 Estimize analysts are expecting PE to report for Q1 Reporting 0502 AMCestimizecomintropechart
EstimizeAlerts,,2019-02-11 09:42:00,17.536,Heres what 14 Estimize analysts believe PE will report for Q4 2018 revenue Reporting 0221 AMCestimizecomintropechart
