Teachaman2fish,True,2019-02-11 15:33:00,21.22,PEGI Green eod
EstimizeAlerts,,2019-02-11 12:35:00,21.127,PEGI reported EPS and revenue last quarter Next report is 0808 BMO Jury is still out on expectations Whats yoursestimizecomintropegicha
EstimizeAlerts,,2019-02-11 11:38:00,21.119,PEGI estimates distribution heres what 12 Estimize analysts are expecting PEGI to report for Q4 Reporting 0228 BMOestimizecomintropegicha
