sell1buy2,True,2019-02-11 13:55:00,21.077,TVTY if I was an insider I would be buying it down here
EstimizeAlerts,,2019-02-11 10:21:00,21.185,Wall St is expecting 1531 YoY EPS growth for TVTY in Q1 in Q4 Reporting 0422 AMCestimizecomintrotvtycha
EstimizeAlerts,,2019-02-11 09:48:00,21.225,Heres what 6 Estimize analysts believe TVTY will report for Q4 2018 revenue Reporting 0219 AMCestimizecomintrotvtycha
