Giants2017,True,2019-02-11 14:25:00,94.54,QLYS Lets rip into earnings beat and guidance Tremendous outlook
EstimizeAlerts,,2019-02-11 12:29:00,94.85,Estimize revenue expectations are 084 lower than that of Wall Street for QLYS Q1 Reporting 0430 AMCestimizecomintroqlyscha
EstimizeAlerts,,2019-02-11 11:17:00,94.752,Estimize revenue expectations are 073 higher than that of Wall Street for QLYS Q4 Reporting Tomorrow 0212 AMCestimizecomintroqlyscha
