Jroche1987,True,2019-02-11 13:01:00,1.139,CANF
mmerryweather,False,2019-02-11 10:54:00,1.132,CANF Look at the last post of Moneyman223 Wow Is this person above the age of 10 The post has NO meaning Dah and Dah and Dah
Moneyman223,True,2019-02-11 10:40:00,1.132,CANF
mmerryweather,False,2019-02-11 10:38:00,1.14,CANF I think it is time for one of you to post just how great this company is and avoid talking about your losses You all have losses
mmerryweather,False,2019-02-11 10:36:00,1.14,CANF Every single person here but me has a massive unrealized loss I will buy your stock at 60 when you panic and sell Con is in
mmerryweather,False,2019-02-11 10:35:00,1.14,CANF Will be a size buyer at 60 for a trade to 90 when the co starts the con on how they OTHER ideas Con is in Dah and Dah
mmerryweather,False,2019-02-11 10:34:00,1.14,CANF Very close to ALL TIME lows All posters but me have a loss from buying anytime in the last 3 years Dah and Dah Con is in
mmerryweather,,2019-02-11 10:32:00,1.138,CANF 112 and down we go Looking for 65 on failed trail news Will buy for con trade at 60 Con is in Watch out
