MoneyMakinManhattan,,2019-02-11 15:11:00,22.178,MLCO easily my worst stock of 2018 hoping for a turnaround this year
EstimizeAlerts,,2019-02-11 12:23:00,22.067,Estimize EPS expectations are 1850 higher than that of Wall Street for MLCO Q1 Reporting 0502 BMOestimizecomintromlcocha
EstimizeAlerts,,2019-02-11 11:23:00,21.912,MLCO analysts on Estimize are expecting 504 YoY revenue growth for Q4 up from 1140 in Q3 Reporting 0214 BMOestimizecomintromlcocha
