buysellbkr,,2019-02-11 15:55:00,8.243,CHFS can someone put a pic up of the current level 2
littleinvestorbiggains,,2019-02-11 14:55:00,8.256,CHFS lmfao this guy llives here or something spends all weekend posting here Stop pumping u fraud
ChartMill,,2019-02-11 13:21:00,8.25,When comparing the Current Ratio to the industry average of 345 CHFS has a better Ratio chartmillcomanalyzephpu
jguilbert,True,2019-02-11 10:50:00,8.05,CHFS value actually seems legit now
value_search,,2019-02-11 10:29:00,8.051,CHFS watch the new Don Cheadle show Black Monday And I just paid for unlimited data on my phone But I aint use it here
value_search,,2019-02-11 10:28:00,8.051,CHFS Dont want to come up here again its no use to teach anybody anything Altruism has no place on the trading floor
value_search,,2019-02-11 10:26:00,8.05,CHFS Diaper Babies ran to ST admin to report me bullying them I got 7 warnings from ST saying someone reported me yesterday How funny
value_search,,2019-02-11 10:21:00,8.15,CHFS I dont know how stupid ST people can be Obviously plenty of ball less men hiding behind blocked account acting as RATS
value_search,,2019-02-11 10:20:00,8.15,CHFS I work for richest doctor in the world under 18 B asset management That Wen Chen tried to sell Chinese education material
value_search,,2019-02-11 10:19:00,8.15,CHFS I have 3 graduate degrees 1 MS from HK 1 MD in California and 1MS in data science That Wen Chen was never educated here
value_search,,2019-02-11 10:17:00,8.15,CHFS I was not born when your Wen Chen came to the US I live in Bay Area and Im a clinician I dont use FB its a toilet just like ST
value_search,,2019-02-11 10:16:00,8.15,CHFS my great aunt is younger than the Wen Chen from Taiwan Im from Hongkong and a million Wen Chen in the world
value_search,,2019-02-11 10:15:00,8.15,CHFS laugh my ass off Smear compaign character assassination Lies after lies just to follow me and kill my accounts again and again
