DJP666,27,45,10545.17,687,4,4,480,2
BullHearder,148,88,4849.01,800,21,29,415,23
BigV5150,38,16,3693.52,422,60,10,54,60
CandyManTrader,60,71,3290.71,386,21,6,463,21
BATMAN72,101,181,3154.71,6.1k,11,159,6.3k,93
Ballinnn,469,577,2983.31,3.9k,13,229,835,0
ChartUrCourse,11,6,2905.65,81,1,16,28,10
Dannybot,69,37,2633.45,728,17,6,773,15
Bullish61,19,21,2022.58,99,4,1,908,29
CharliCrew,35,30,2008.96,337,12,6,110,92
DRAY1,12,25,1838.52,124,17,5,36,7
CreamSota,58,34,1805.66,520,10,8,117,56
Fabriziom,70,0,1610.57,730,0,1,27,1
BeoDefstar,48,3,1604.21,556,1,6,213,2
BAGBALM,69,20,1571.74,992,25,20,1.1k,19
Dlehmer66,61,5,1396.44,314,68,4,296,150
BRKLYNtrader,38,41,1293.42,413,11,20,151,13
BeatDaSheep,47,15,1125.15,941,59,5,182,5
Bobbykack,109,31,1101.98,6.4k,69,71,4.0k,31
DaMoose77,383,205,1016.45,12.1k,129,201,12.9k,193
DERICK1010,95,71,980.88,256,13,1,264,1
CrznDeLeon,21,5,941.72,53,19,1,111,25
Cplrat,39,0,898.52,77,0,1,57,1
Chemocles,93,22,897.83,506,0,7,98,7
Arigoldkilloyd,114,39,875.73,357,13,8,84,9
CharlieTheHomeless,267,99,833.9,5.5k,6,177,1.3k,0
DJTAZ,44,18,812.57,248,160,20,884,104
ElectricPanda,34,4,784.02,1.7k,81,18,3.1k,14
Arrgster,35,0,783.55,2.5k,17,25,775,14
GetThisMoney,22,10,718.37,780,60,16,14,15
Corwits,259,30,684.76,593,32,5,202,32
CaliStockTrader1,195,45,649.1,1.1k,22,40,6.0k,12
51Mercury,79,36,637.59,208,54,1,38,0
Cabogirl,44,14,623.72,1.3k,59,111,416,111
Brian8404,29,6,621.53,675,24,21,234,14
Cartmann,15,6,608.8,1.8k,34,177,108,12
50FIB,54,0,594.82,1.5k,136,163,398,10
AlwaysAlisha1,18,7,592.43,229,42,8,1.6k,79
ClaySykes,155,0,590.15,796,31,15,382,103
ChartWars,53,17,576.65,4.4k,16,3.1k,277,72
AlwaysPowerHourS0mewhere,36,1,564.77,210,6,4,74,6
Bobo2013,20,10,563.23,1.5k,77,28,11.5k,249
BigDreams2020,319,186,548.64,2.9k,48,27,482,14
German914,64,31,540.44,572,26,10,460,9
AuntMarie,258,251,540.26,31.8k,6,737,63.6k,16
1DogeIs1Doge,83,4,521.27,1.5k,37,33,4.6k,72
BanjoFrog,128,81,518.33,20.0k,5,105,1.6k,30
CeltAssassin,87,126,517.06,1.2k,2,9,364,50
Blackbox401,14,0,510.81,81,18,6,528,24
Daytrader12310,8,1,501.84,29,30,2,13,9
CEM97,159,128,497.64,2.4k,76,44,303,49
BullTilt,66,1,496.11,8.8k,35,106,4.8k,5
Adru1011,30,0,491.92,54,0,3,3,0
Bonaparte33,43,15,485.42,134,12,2,255,22
Compamemo,68,28,483.18,401,6,5,33,29
CashShark,97,77,475.89,1.3k,11,16,205,60
CrapSh00t,39,23,468.42,6.5k,158,60,5.7k,85
B1B,177,211,464.09,19.4k,227,196,16.6k,300
Brinkstamp,62,84,456.05,1.3k,23,43,562,82
BobVance,24,18,440.27,814,2,0,745,12
DansCharts,37,35,435.87,355,1,11,89,47
BulIishTrade,176,205,434.18,4.2k,26,1.3k,1.7k,117
BMRR,9,29,433.19,87,201,13,37,41
Beavono,47,36,433.03,124,91,7,91,209
Dowjones2017,71,15,427.42,4.5k,97,37,4.0k,1
Billnunya,46,6,420.37,462,0,2,156,0
BierSnack,46,2,418.14,516,4,5,721,7
BullRider54,16,1,416.38,301,1,2,475,77
BuyTheGap,60,42,407.45,1.7k,21,186,779,23
01Abdulkadir,28,16,407.32,50,0,1,3,2
ChitownBull,16,4,398.88,92,2,0,155,16
Birdman50,48,6,398.45,663,1,8,209,1
AceMcgee,13,2,397.8,612,80,15,207,70
Auspex,49,0,392.91,227,3,5,36,5
Direwolf0110,21,32,391.96,1.1k,3,10,1.0k,25
CryptoBullRunner,99,12,385.44,371,1,13,541,2
BillDecant5,43,6,385.18,315,10,16,10.2k,39
A1A,44,0,382.69,585,63,3,253,9
Babybull21,65,50,382.42,211,7,2,121,29
CashPool123,72,56,379.76,565,5,1,101,7
Akunina1,1,0,377.83,4,0,1,16,11
AdmiralAckbar77Twits,16,0,377.64,5.1k,171,110,6.7k,74
CitadelAdv,77,47,377.56,7.2k,68,177,16.5k,120
CMT73,33,21,369.43,1.8k,7,9,2.8k,9
Crafty911,31,0,364.4,43,0,2,24,0
Broketeach,36,3,359.26,232,6,3,367,32
ABCStock18,33,0,354.4,429,32,13,345,2
Blackmoore89,14,2,350.97,40,1,2,44,20
BioStockDD,149,49,348.43,1.1k,8,20,650,187
BottomFeederShark,17,5,347.57,1.2k,78,22,484,38
Arbeni,23,23,340.43,693,2,3,216,36
Artfldgr,35,80,336.02,12.3k,5,73,1.4k,11
DetroitParty,31,5,334.81,124,7,0,829,17
BegginerInTown,263,183,329.53,2.3k,1,3,361,16
Discipline15,64,119,328.6,4.8k,27,2.0k,5.6k,280
12strader,29,10,324.97,65,4,0,1.1k,69
BullRiderBearFighter,19,5,323.37,719,107,39,3.9k,22
Ck431,62,0,321.21,623,13,2,503,8
10xcashflow,105,47,320.71,1.2k,11,13,2.7k,12
Bullisher,109,92,320.71,437,20,11,148,284
DayTrade4Life,20,0,320.06,96,1,3,205,1
ConanTheContrarian,129,59,313.85,1.5k,0,21,752,5
Deeter,35,4,311.24,80,0,4,4,18
DaddioTheFinest,30,2,307.49,592,2,8,316,13
ArmyRat,69,46,304.01,526,18,6,97,5
BriantheLion,16,5,303.15,1.2k,249,58,1.5k,291
DennisTexas,6,0,300.75,23,3,2,21,16
AbuSalay,57,24,299.88,600,47,20,1.3k,56
DWOLOW,23,0,298.17,570,47,12,3.2k,9
AbuG,28,50,296.24,195,78,7,336,121
Bull69Bear,81,10,295.19,479,5,0,1.0k,16
BBMcbride,11,0,292.84,50,6,2,115,10
Alchemiestrade,33,17,291.69,286,97,10,297,33
BlueStar88,44,6,290.03,3.7k,83,58,3.5k,53
CoolCucumber,26,0,289.53,39,0,0,0,0
DaddyTrader,73,23,289.24,12.7k,112,1.1k,7.1k,175
21jlawson,22,27,283.94,369,10,8,2.1k,11
BorB,48,29,279.52,2.9k,168,41,21.6k,26
BestDayStocksBuchanan,28,12,279.35,990,59,24,108,12
Buneta,43,19,276.12,645,334,12,301,16
3lGuwap,9,0,272.33,52,5,0,25,34
DarthMarket,32,17,268.64,795,39,52,293,12
Cberribomb,38,14,266.98,87,0,1,2,26
DECAB,18,2,266.2,409,61,7,2,0
1st2Mkt,80,0,265.35,525,2,7,64,9
BullRunner1995,35,28,263.04,334,22,16,339,30
CMEHUNCHO,188,100,261.5,2.1k,17,39,1.0k,29
EdisonTesla,27,17,259.28,539,5,6,480,18
Anday101,8,0,258.0,275,2,4,329,27
DannyGonzalez,17,11,255.82,1.1k,3,3,431,28
Bakedziti9,55,22,250.47,1.2k,22,11,4.5k,236
ALOSETE,22,7,246.67,430,62,7,74,133
3liskies,17,0,245.27,166,7,0,159,21
Bee2you,50,9,242.76,102,0,5,6,28
AustinR98,80,20,241.93,359,7,14,160,11
Besharp67,25,11,241.48,87,22,0,153,95
Dina80,17,24,241.47,988,71,76,11,71
29Cu,11,9,240.92,228,29,4,80,3
BostonASmith92,25,22,235.54,345,13,6,43,8
Ben007,5,7,235.2,325,12,2,754,23
Dbe89,46,29,235.02,1.8k,84,17,777,11
Akstockguy,20,1,229.28,216,9,4,324,88
Crissfo,22,10,227.32,222,22,1,116,39
Denopoly,13,0,225.13,33,0,0,14,1
CharlieWins,9,6,222.96,60,0,0,19,19
COTradeTech,35,3,221.37,2.6k,17,25,1.1k,17
68WDocInvestor,9,2,219.54,84,1,0,66,2
AceAnalyst,28,0,216.76,5.1k,0,2.7k,2.3k,165
BullRiderss,11,4,216.74,1.1k,4,22,1.3k,22
ACE17,8,2,214.14,47,1,1,22,22
BullorBear1995,12,15,212.57,170,1,4,13,0
BoyToy,9,0,212.23,74,1,2,145,6
BoomPilot,43,22,211.76,1.1k,7,22,2.1k,12
Askalot,76,42,209.6,21.3k,446,291,28.9k,289
Awayne,17,10,208.98,137,0,3,30,11
Daniel924,22,18,208.11,4.8k,104,161,3.1k,25
50YearPlan,29,0,208.1,6.2k,5,74,7.9k,4
DaneMain,22,22,205.5,525,28,6,860,12
Arson,5,2,205.0,340,66,9,2.1k,36
777DragonSlayer777,60,29,203.75,386,35,7,1.3k,95
BaoMania,3,0,202.54,439,20,0,64,168
AYANA,29,47,201.61,386,690,49,70,139
GreenchartTrades,30,23,200.84,457,101,31,214,24
Beanzley,109,121,200.31,2.0k,61,35,3.2k,7
AlanBrito,50,5,197.47,276,4,1,134,28
Badboys03,54,0,196.8,1.8k,149,19,1.8k,293
FuzzySlippersOfficial,17,13,196.19,53,5,0,67,1
BTFDOptions,110,9,195.82,3.2k,33,1.0k,412,296
DannyTheFire,53,20,194.12,736,66,8,269,16
Bounceback1,14,18,191.3,162,11,4,288,47
1TripBagHolder,24,44,187.6,248,63,1,252,15
Auratone,34,11,187.22,3.5k,112,44,2.8k,61
Bradley1972,43,34,185.39,968,0,10,3.1k,30
ArmoredBull,22,9,185.27,2.8k,70,98,2.5k,32
DarnCasino,45,42,184.9,9.0k,50,229,11.7k,2
1cashmoney,26,11,182.71,1.8k,25,31,610,10
BullzNBearz,41,5,182.65,6.8k,189,237,655,83
AJFarr50,13,1,182.4,47,1,0,32,14
Afalcons,63,43,181.8,625,4,2,361,3
Blastnoff,54,0,180.86,389,2,2,324,1
BullBullBill,60,23,180.58,428,51,12,325,23
Anthony210,7,1,177.9,73,2,2,16,5
Countercontrarian,17,7,176.41,2.0k,55,276,161,18
DangerWillRobinson,34,33,176.26,86,0,0,0,0
AttitudeOfGratitude,77,6,176.11,197,14,6,666,13
BioBreakout,51,22,175.72,189,185,90,73,55
ChoppinShortsLT,41,5,175.59,9.9k,108,717,20.5k,298
AntBatt13,7,2,173.6,212,25,2,112,7
AdmiralAckbar,54,21,171.74,1.5k,69,30,3.3k,149
CarsonOil,15,0,171.43,426,15,15,274,38
BigSack,64,0,170.75,139,1,3,14,5
DarkIlluzionz,57,8,169.45,798,3,3,445,19
BigTitanfan,14,0,168.84,113,5,5,174,1
BullNick,7,0,168.64,45,0,0,49,2
BLD33,59,47,168.14,584,86,67,14,66
Baqarah,25,14,167.13,6.4k,126,75,290,7
BioCat,156,148,167.03,2.8k,3,26,930,1
AussiePowers,30,1,165.52,147,6,6,245,8
1trademill,30,21,165.38,165,8,6,46,13
Frozensmoke100,60,1,164.68,1.3k,34,16,5.5k,7
BB08,31,38,162.37,210,61,4,379,6
Darkchain,11,0,161.91,72,65,1,260,8
Burnout,15,1,161.38,65,27,5,99,54
6seven5r,8,0,160.63,138,5,2,156,10
Bilushh,29,22,157.99,3.4k,91,50,1.9k,2
Ath4c,50,12,157.35,281,5,4,211,6
CharlesD009,46,4,156.18,195,6,1,404,6
Bob113,14,1,154.27,88,0,2,367,3
DatguyBCool,35,27,153.96,125,20,6,246,44
GdCortes,13,3,153.72,101,7,0,27,17
Frangooch,33,46,153.69,1.2k,49,17,663,283
Bolket,11,5,153.26,708,8,83,4,33
Charliet1,32,13,152.82,463,0,2,81,10
BigTrader65,26,16,152.58,1.3k,66,17,291,49
BaaBaa45,41,0,152.14,408,13,6,467,12
CanadianInvest,27,40,150.65,9.0k,157,113,8.1k,295
FarrowsHarrows,3,0,150.45,26,60,0,7,12
BlueRain,250,237,149.74,6.0k,11,96,13.3k,300
BenevolentStockCharts,100,52,149.43,700,15,19,751,61
CookingUpABag,3,0,149.02,43,15,1,28,8
Ahri,124,107,147.43,1.2k,42,24,656,1
Andeez923,13,10,145.95,82,2,2,34,3
CrazyTicker,82,81,145.62,396,0,214,0,67
AdmiralThrawn,14,0,145.61,1.4k,60,11,138,1
Big4bull,10,0,144.7,980,41,13,2.0k,37
2tradewell,10,0,143.89,162,74,1,87,0
D8abusa,33,4,143.7,6.2k,29,182,3.5k,35
Bluefalconxx01,11,9,143.55,431,105,15,1.3k,18
Bullstoronto,47,31,142.79,299,10,20,153,35
Darkfyre,44,1,142.24,557,28,7,218,9
Beandog0829,21,12,141.8,526,16,2,92,11
Carpediem4r,27,6,141.75,210,56,5,147,83
13gibbsnc,33,0,141.71,251,48,1,39,11
DancinHansen,7,0,141.38,204,5,9,116,3
Dirtye30,16,12,140.25,817,6,7,129,27
GunsFishBacon,33,22,140.15,646,16,7,1.3k,4
Andygill,21,0,140.0,126,3,2,199,5
BCTrader86,20,23,139.46,244,1,4,145,13
EPR53167,17,29,139.25,115,1,7,12,2
Chris5555,3,2,139.1,12,0,0,63,25
BlowGod,10,6,138.63,710,6,10,86,34
DandyD,18,2,137.21,235,1,2,223,13
BigJuicy,41,3,136.1,671,7,7,972,13
Bizbound,62,0,135.19,346,2,3,621,28
DarthScott,6,4,134.55,671,22,4,2.1k,247
CallMePLAY,11,1,134.06,95,42,7,1.4k,39
BradBerkobien,88,14,133.32,633,8,7,959,13
Bibleman777,24,1,132.57,285,4,6,399,3
DatPreacher,17,1,132.17,2.6k,3,71,116,135
BramBull,3,0,132.07,364,7,3,32,4
Csvipers33,20,0,131.86,35,3,0,4,3
Firefighter5800,75,14,131.05,1.2k,26,21,434,10
AlbieRuns7777777,47,39,131.01,8.6k,24,80,200,30
CzarCraze,78,42,130.82,314,85,7,142,42
IR64,15,1,130.65,4.0k,51,52,881,73
Anayal8ter5326,27,0,130.39,117,13,6,167,18
DannyD23,19,0,130.06,1.1k,18,19,908,1
Arizonagirl22,6,0,129.66,117,13,6,493,9
Dirtball,3,1,129.41,987,29,20,17,40
Apartment2A,19,31,129.36,751,84,17,801,172
AxeCapitalLLC,5,14,129.25,3.4k,20,141,206,167
Alexgordo,6,5,128.98,351,3,3,170,11
ChiTownMidway,43,37,128.63,3.0k,1,21,15,111
ErosTrader,5,1,128.57,15,7,4,14,4
BigMov3s,58,19,128.5,277,2,3,21,10
BestShortEver,23,18,128.01,150,1,2,127,0
DatAccuracy,200,119,127.45,670,6,25,2,29
Airwolf39,19,0,126.62,139,2,0,10,2
GREEN31PALADIN,12,15,126.41,428,2,36,131,10
Achabachu,9,1,123.08,448,8,4,369,49
BryGuy29,15,0,123.02,718,61,3,104,2
Florian,22,7,122.41,1.5k,61,16,2.6k,50
Bador,22,12,122.2,215,61,1,205,23
BenMoseAsher,44,0,121.99,115,0,1,21,0
HardBrexitBook,10,9,121.93,292,0,3,21,6
CaptainFancyPants,23,12,121.59,1.9k,70,28,1.0k,6
Bankflow,77,0,121.12,343,126,13,394,39
BrianG527,27,17,120.6,2.0k,15,37,1.3k,70
BloBlo,13,1,120.41,50,33,9,46,50
Bobwertson,17,14,120.26,94,2,1,74,12
DJRickSauce,7,2,120.17,144,77,4,54,30
AliExpress,48,5,120.11,2.2k,1,17,530,2
Bull1995,9,1,118.4,36,12,2,273,10
Carlito78,8,4,118.23,119,60,1,224,12
DSStockTrader,21,12,117.64,1.2k,64,69,3.1k,297
AnyGivenMonday,5,2,116.33,166,12,3,91,0
1DollaSign,10,9,116.16,157,8,2,28,0
DavideTrader,5,1,115.91,304,3,3,4,2
4LunchMoney,7,5,115.55,870,116,35,2.2k,11
BuffetAssassin,6,2,115.45,149,2,3,14,15
Cchristodoulou,59,54,115.23,4.3k,38,20,494,94
C0zWeMadeIt,71,43,115.12,946,28,18,383,69
Aviperez1,18,13,114.9,262,0,7,2,1
DarkTwits,19,11,114.12,304,37,99,81,122
BumbleBean,5,5,113.36,21.0k,149,497,23.7k,53
HaxO,22,11,112.52,92,71,2,361,16
AKHO,41,56,112.45,1.4k,1,34,80,16
Barfly,14,0,112.41,200,59,2,20,7
CheesyChessMan,22,8,111.98,279,1,7,188,18
BPITT,64,0,111.42,2.2k,132,23,4.8k,49
Casinobully,33,23,111.21,2.1k,4,56,281,66
BishBish,135,156,110.97,1.5k,77,36,2.8k,12
Fasak,30,11,110.52,2.0k,47,131,737,169
BrianD80,6,2,110.31,71,0,2,98,20
BubbaFranks,39,29,110.19,1.0k,10,17,25,8
Boesky,18,3,110.01,300,3,2,169,0
BullsOverBears1,31,24,109.62,164,0,1,46,1
35jt,19,0,109.29,192,13,3,169,23
Copernicus,32,16,108.85,3.3k,19,44,1.5k,156
Boomerman24,9,0,108.62,1.2k,105,78,3.6k,4
Cycletrader59,67,31,108.29,1.4k,41,13,930,37
BEALLISH,10,0,108.25,852,2,3,123,3
Christian1242,5,10,107.76,589,35,40,1.1k,63
BTechPimp,7,1,107.59,8.6k,12,230,4.4k,60
DahTrader,8,2,107.51,62,1,0,33,6
BullionaireInTraining,26,53,107.08,1.1k,52,138,688,38
CHIKENDINNER420,42,34,106.7,358,5,7,411,68
CaptNeil,25,7,106.18,86,1,2,83,8
Chlorophyll,7,5,106.0,758,4,13,970,15
DefaultName0,11,0,105.22,34,12,0,44,5
Boncato8,35,17,104.87,179,7,2,75,4
