A,2,13
AA,4,19
AAC,2,20
AAL,14,45
AAOI,19,122
AAP,2,22
AAPL,391,3310
AAXN,4,28
ABBV,6,24
ABEO,2,18
ABEV,1,15
ABIL,46,291
ABIO,31,484
ABMD,1,8
ABR,1,12
ABT,2,18
ABUS,1,11
ACAD,7,37
ACB,615,1835
ACET,59,1103
ACHC,1,11
ACHN,1,7
ACHV,81,2178
ACIA,2,9
ACOR,2,16
ACRX,72,312
ACST,4,16
ADBE,4,19
ADIL,9,130
ADMA,9,86
ADMP,73,184
ADMS,2,15
ADOM,7,55
ADP,1,8
ADRO,1,20
ADSK,5,31
ADXS,9,99
AEM,2,10
AEMD,6,53
AEO,1,7
AERI,1,9
AES,1,7
AETI,11,187
AEZS,3,14
AG,13,40
AGEN,11,57
AGIO,1,7
AGN,4,17
AGNC,1,9
AGRX,7,66
AIG,2,24
AIMT,5,33
AIPT,1,14
AIRI,1,9
AJRD,1,8
AKAO,26,118
AKBA,1,13
AKCA,1,12
AKER,54,230
AKRX,1,6
AKS,25,64
ALB,3,31
ALDX,1,9
ALGN,2,18
ALK,2,13
ALL,1,12
ALLO,1,9
ALLY,2,11
ALNY,1,9
ALQA,2,23
ALRN,4,54
ALT,62,273
ALXN,1,10
AMAT,12,63
AMBA,1,8
AMC,4,38
AMD,659,1578
AMED,1,7
AMGN,2,11
AMPE,18,77
AMR,13,125
AMRH,85,445
AMRN,133,508
AMRS,55,409
AMSC,1,9
AMT,1,9
AMZN,475,1160
ANET,5,50
ANF,2,10
ANFI,9,49
ANIX,2,17
ANY,8,84
APC,3,16
APDN,11,251
APHA,101,323
APHB,3,21
APOP,5,63
APPF,1,8
APPN,1,11
APPS,9,44
APRN,27,161
APTO,4,28
AQMS,12,108
AQXP,1,9
ARLO,62,452
ARNA,3,15
ARNC,2,32
ARPO,1,16
ARQL,1,8
ARRY,39,144
ARTW,6,187
ARWR,13,116
ASHR,1,6
ASNA,7,83
ASNS,4,19
ASTC,6,33
ATEC,6,97
ATHX,9,48
ATIS,9,39
ATNM,15,87
ATOS,26,472
ATRS,4,31
ATTU,2,49
ATVI,125,751
AU,2,21
AUMN,1,27
AUPH,49,256
AUY,11,70
AVAV,1,6
AVCO,9,170
AVEO,82,431
AVGO,5,20
AVGR,112,467
AVP,6,39
AVXL,3,31
AVYA,3,71
AWK,1,7
AWSM,29,240
AWX,1,10
AXAS,3,16
AXDX,3,18
AXL,2,34
AXON,2,22
AXP,2,13
AXSM,18,114
AYTU,35,208
AYX,8,49
AZN,2,24
AZO,4,34
AZRX,1,22
BA,73,327
BABA,99,217
BAC,53,171
BB,105,321
BBBY,19,141
BBT,1,11
BBY,8,132
BCLI,2,15
BCRX,1,6
BDSI,2,11
BDX,1,9
BE,7,35
BEAT,5,23
BECN,1,10
BG,2,19
BHC,73,579
BHF,1,11
BIDU,25,104
BIG,1,9
BIIB,9,196
BILI,15,138
BIOC,162,637
BKNG,11,90
BLCM,1,6
BLDP,5,23
BLFS,2,13
BLIN,4,69
BLK,6,151
BLNK,24,209
BLPH,2,11
BLRX,17,87
BLUE,2,28
BMRN,2,15
BMY,13,77
BOOM,2,48
BOX,9,147
BOXL,40,505
BP,2,13
BPMX,59,242
BPTH,106,1835
BRS,29,193
BRZU,7,21
BSGM,1,9
BSTI,4,60
BSX,2,11
BTE,2,10
BTI,1,8
BTX,3,16
BUD,2,14
BURG,1,11
BW,5,40
BWA,1,10
BX,2,19
BZUN,32,112
C,16,101
CADC,1,24
CAG,4,20
CALA,1,8
CAMT,1,10
CANF,1,8
CAR,5,83
CARA,16,139
CARB,1,20
CAT,22,97
CATS,1,8
CBAY,4,32
CBIO,2,55
CBK,1,9
CBL,1,7
CBLK,5,38
CBRL,2,13
CBS,3,24
CC,1,8
CCCL,26,98
CCI,1,7
CCL,2,15
CDE,1,7
CDMO,1,10
CDNA,1,19
CDXC,2,21
CEI,171,610
CELG,17,169
CENX,1,11
CERC,5,114
CETX,1,7
CFMS,15,137
CFRX,8,44
CGC,273,633
CGIX,66,220
CGNX,1,10
CHD,1,7
CHEK,4,23
CHFS,26,146
CHGG,4,48
CHK,89,715
CHTR,1,11
CI,5,22
CIDM,1,13
CIEN,2,22
CIFS,61,1232
CJJD,1,9
CLD,455,1255
CLDC,1,35
CLDR,19,34
CLDX,26,251
CLF,52,609
CLNE,3,43
CLPS,2,24
CLR,1,20
CLRB,2,30
CLRO,1,15
CLSD,8,40
CLSN,4,18
CLVS,20,116
CMCSA,2,10
CMG,50,563
CMI,1,10
CNAT,4,27
CNC,1,15
CNET,1,13
CNSL,2,13
CODX,3,26
COG,1,9
COLL,1,23
CORT,1,8
COST,5,27
COT,1,17
COTY,32,307
COUP,2,15
CPAH,1,15
CPB,2,30
CPE,2,15
CPG,3,18
CPHI,2,43
CPRT,1,7
CPRX,31,290
CPST,4,19
CRBP,25,123
CRC,13,58
CREE,1,11
CREG,54,379
CRIS,14,439
CRK,1,16
CRM,9,54
CRMD,311,1185
CRNT,2,13
CRON,532,1591
CROX,2,17
CRSP,6,63
CRZO,2,10
CSBR,2,18
CSCO,17,144
CSIQ,16,47
CSX,1,10
CTK,1,24
CTL,17,177
CTRP,2,8
CTRV,2,20
CTSH,1,15
CTXR,1,13
CTXS,1,9
CUR,3,25
CVE,2,18
CVEO,1,10
CVM,10,50
CVNA,6,55
CVRS,3,18
CVS,63,404
CVX,2,12
CWEB,1,10
CWH,3,26
CX,2,10
CY,2,16
CYBR,15,199
CYCC,9,258
CYH,2,23
CYTR,17,93
CYTX,1,14
CZR,11,60
DAL,5,36
DAN,1,16
DARE,1,8
DATA,3,13
DAX,4,13
DB,2,8
DBD,12,202
DBX,8,43
DCAR,8,40
DCIX,30,319
DDD,3,46
DE,6,73
DECK,1,12
DELL,2,24
DERM,4,90
DF,1,24
DFFN,3,25
DFRG,1,10
DG,1,10
DGAZ,66,249
DGLY,1,11
DHI,2,25
DIA,49,97
DIS,36,210
DISH,3,37
DK,1,8
DKS,1,10
DLPH,1,12
DLTR,2,12
DMPI,2,9
DNKN,1,9
DNR,32,120
DO,1,10
DOCU,2,11
DOMO,1,11
DPW,79,319
DPZ,5,92
DQ,1,20
DRIP,7,33
DRRX,2,12
DRYS,10,42
DSW,1,15
DSX,1,9
DTEA,5,24
DUK,2,14
DUST,18,54
DVAX,5,43
DVN,3,48
DWT,22,57
DXCM,3,22
EA,144,855
EARS,26,173
EBAY,6,30
EBIX,2,12
ECA,7,36
ECL,1,10
EDGE,1,8
EDIT,3,35
EDRY,4,72
EEFT,1,11
EEM,7,26
EFA,1,10
EGAN,10,209
EGO,5,24
EGY,1,9
EHTH,1,8
EIX,1,9
EKSO,9,58
ELAN,2,13
ELGX,1,10
ELY,1,11
EMES,1,12
ENB,3,14
ENDP,6,54
ENPH,19,126
ENTG,1,8
EOG,1,12
EOLS,46,329
EPE,1,8
EPIX,4,20
EPR,1,8
EPZM,1,9
ERIC,2,16
ESEA,4,25
ESNC,128,1177
ESTC,3,43
ESV,6,21
ETR,1,7
ETSY,24,189
EVER,1,38
EVTC,1,11
EW,3,19
EWZ,2,18
EXAS,9,37
EXEL,19,141
EXK,1,7
EXPE,4,62
EXPR,1,7
EYEG,1,10
EYEN,3,41
EYES,4,18
EYPT,7,32
F,48,131
FANG,2,10
FAST,1,12
FATE,1,10
FB,179,435
FCAU,2,13
FCEL,29,149
FCSC,4,53
FCX,8,54
FDX,8,29
FE,1,8
FEYE,16,92
FFHL,1,40
FGP,1,7
FISV,1,6
FIT,33,210
FIVE,1,11
FIVN,2,40
FIZZ,1,11
FL,5,72
FLDM,1,14
FLKS,12,41
FLNT,1,11
FLXN,2,17
FMC,1,13
FNKO,18,195
FOLD,1,12
FOMX,1,7
FOSL,6,99
FPAY,29,69
FRAN,27,86
FSCT,1,22
FSLR,6,36
FSM,1,12
FTFT,1,10
FTNT,2,10
FTNW,34,694
FTR,12,176
FUN,1,7
FUV,15,296
FXI,6,19
GALT,30,112
GBR,3,29
GBT,3,13
GDDY,1,9
GDX,25,68
GDXJ,12,54
GE,241,542
GEMP,1,10
GERN,28,120
GEVO,38,421
GG,2,11
GH,4,36
GHDX,1,17
GILD,13,159
GIS,2,12
GLBS,32,99
GLD,28,95
GLG,5,54
GLMD,3,15
GLOW,1,18
GLUU,15,57
GLW,2,16
GM,7,25
GME,15,132
GMED,1,6
GNC,16,43
GNCA,11,109
GNMX,27,120
GOGO,6,24
GOLD,8,37
GOOG,29,80
GOOGL,40,111
GOOS,74,723
GPL,1,9
GPOR,1,14
GPRO,10,89
GPS,6,89
GRMN,12,194
GROW,2,20
GRPN,13,77
GRUB,6,78
GS,13,60
GSAT,10,38
GSK,1,8
GSKY,1,21
GSL,1,13
GSM,10,81
GSS,1,9
GSUM,16,169
GTT,2,16
GTXI,9,79
GUSH,38,101
GWPH,4,51
H,2,14
HA,1,6
HABT,2,17
HAIN,2,17
HAIR,3,25
HAL,2,9
HAS,2,25
HBI,1,13
HCLP,2,9
HD,28,171
HEAR,71,293
HEB,2,32
HEI,1,9
HFC,1,14
HIBB,1,18
HII,1,9
HIIQ,1,10
HIMX,13,71
HK,2,15
HL,1,10
HLF,2,22
HLT,1,17
HMNY,115,505
HOG,1,12
HPE,2,14
HPQ,5,87
HPR,1,14
HROW,1,10
HRS,1,11
HRTX,1,9
HSGX,55,340
HSIC,1,18
HTBX,26,124
HTGM,9,83
HTZ,13,130
HUBS,3,28
HUM,2,14
HUSA,2,19
HUYA,22,78
HYG,2,8
HYRE,8,71
HZN,1,13
HZNP,10,120
I,6,33
IBB,16,46
IBIO,27,67
IBM,17,128
ICON,16,80
ICPT,56,472
IDEX,67,356
IDRA,1,21
IDXG,10,23
IEF,1,6
IFF,1,9
IFMK,7,68
IGLD,5,29
IGT,1,7
IGV,1,17
IIPR,4,30
IIVI,1,9
ILMN,2,15
IMDZ,7,192
IMGN,9,107
IMMP,3,14
IMMU,10,79
INCY,2,9
INFI,4,33
INFN,3,22
INNT,7,67
INO,6,87
INPX,62,237
INSG,3,15
INSY,7,53
INTC,35,145
INTU,1,12
INVA,2,15
IONS,4,53
IOTS,1,7
IP,1,9
IPCI,35,202
IPGP,1,11
IPI,1,23
IQ,114,296
IQV,1,13
IRBT,5,37
ISR,23,108
ISRG,8,28
ITP,1,12
IWM,39,118
IYR,1,9
IZEA,7,71
JACK,2,22
JAGX,30,604
JAZZ,1,20
JBLU,3,21
JCP,30,167
JD,113,815
JDST,16,62
JKS,3,28
JMU,4,40
JNJ,9,42
JNPR,1,8
JNUG,112,330
JO,1,6
JPM,14,56
JT,1,11
JVA,5,26
JWN,3,35
K,3,15
KALA,2,14
KBH,1,9
KBSF,1,8
KDMN,1,16
KEG,7,91
KEM,3,13
KGC,1,10
KHC,48,376
KL,10,65
KMB,1,11
KMI,5,25
KMPH,4,31
KMX,1,8
KNDI,51,466
KO,43,273
KODK,2,21
KOOL,3,23
KPTI,24,184
KR,3,15
KSS,4,13
KTOS,5,22
KTOV,4,15
KWEB,5,21
LABD,26,60
LABU,32,74
LAC,1,14
LAD,1,10
LB,4,41
LC,5,25
LCI,31,233
LEDS,9,47
LEN,2,12
LEVB,2,8
LGND,1,14
LIFE,5,72
LIQT,3,17
LITE,2,11
LJPC,5,14
LL,3,20
LLY,13,39
LMFA,39,704
LMT,2,13
LODE,16,188
LOGM,1,18
LOW,5,62
LPCN,2,27
LPI,1,7
LPTX,12,87
