APDN
AQMS
ARCI
AVGO
AVXL
AXON
BLIN
BP
CBAY
CFMS
COST
CRZO
CVRS
DOCU
DRRX
EPIX
GSL
GSUM
GWPH
HAL
HCLP
HYRE
JPM
NTNX
NVLN
LODE
OIH
OMED
LTBR
ONCY
PSTI
MTCH
SYN
TDOC
SPOT
ZNGA
ZUO
ABMD
ADXS
AFMD
ALB
AMRS
APRI
ATAI
ATNM
ATRS
AUMN
AXGN
BBY
BSTI
BVSN
CLF
CNAT
CPST
CRIS
CRM
CUE
CX
DGLY
DVAX
ERX
FBIO
GILD
GLOW
GMO
FSLR
JBLU
JNJ
I
NK
NKTR
KO
INO
KWEB
LB
IPDN
LEVB
LIFE
LMT
LUV
OPTT
QD
MDB
QURE
MNK
RKDA
MOMO
MS
MTP
SCYX
SLB
TCON
TGB
THO
TMDI
TME
SNNA
SNPS
TRIP
SONO
SPWR
SPXS
TWST
ULTA
UNG
VEEV
VVPR
WB
WLL
SRNE
WYNN
XTNT
YINN
AAXN
ADBE
AEMD
AEZS
AIMT
ALQA
ANIX
APHB
ARMK
ARPO
AYX
AZN
BLNK
BSX
BTI
BVN
BX
CALA
CDE
CHCI
CLWT
CVEO
CVIA
CY
CYBR
CYCC
DB
DBX
DOVA
EDGE
EDIT
EGO
EKSO
ENSV
EOLS
EPE
FTFT
GBT
FCSC
FIVE
GLMD
GROW
GS
GSS
HAIR
MYOK
HIIQ
HMY
NBRV
NETE
NEWA
KBSF
IDRA
KGC
NNA
IMMP
INFI
NOW
INNT
NRZ
NWL
OILD
LOXO
OKTA
ONCS
MA
PVTL
MARA
PYX
MBII
MBOT
MCD
PDD
MDRX
RACE
MGM
MGPI
RESN
MITK
RH
MLNT
PLNT
PLXP
PM
MOTS
RRTS
RTN
PTE
MTNB
SFIX
SGMS
SYF
TAL
SMSI
TELL
TLND
SNSS
TYME
UA
UAA
UNFI
UPS
USAT
VIPS
VTGN
VTNR
VVUS
VXRT
WFC
WTER
SSRM
SSTI
XLF
XOG
XOM
ZYNE
A
AA
ADNT
ADOM
AGE
AIPT
ALK
ALO
AMBA
AMMA
AMPH
ANET
ARKK
ARNA
ARQL
ASNA
AVP
AXAS
AXP
BG
BIOS
BJ
BKNG
BOTZ
BTE
CADC
CAG
CAPR
CAR
CBIO
CDMO
CDXC
CHGG
CI
CIDM
CIEN
CLDX
CLSD
CLSN
CNET
CNSL
COO
COTY
COUP
CPHI
CRCM
CRUS
CSBR
CSCO
CSX
CTAS
CTRP
DAL
DATA
DDD
DFRG
DHXM
DRAD
DTEA
DYSL
EBAY
EBIX
EDNT
EDRY
EEM
ENB
ENDP
EOG
ESTA
EVLV
FSM
EVTC
FTSI
EXK
GAIN
FANG
FCAU
FCX
FFHL
FGEN
FL
GG
GGAL
FLXN
GM
GNCA
GNPX
GOLD
GPOR
GPRO
GRMN
GRTS
GSK
HDSN
MYND
MYO
NAIL
HP
HPE
HPQ
HRTX
HTGM
JE
HUBS
JMU
JNCE
HZN
IAG
IBKR
ILMN
IMGN
INFY
KR
KTOS
KTOV
NTGR
INUV
NURO
LC
IPAS
LE
LGCY
ISR
NXPI
LIT
LITB
OAS
IVV
LL
OHI
LOCO
LTHM
LVS
ORCL
OTIV
PYDS
