CHK
NTWK
CRMD
YUMA
NBEV
CLD
APHA
NIO
KNDI
VUZI
UXIN
CHFS
PIR
CREG
XSPA
SESN
VTVT
RWLK
OHGI
AUPH
NEPT
FRAN
OPGN
TEUM
TNDM
MAXR
VSTM
MNKD
GBR
ACB
NVCN
UAVS
BAC
MYSZ
GNC
HMNY
OPK
AETI
ANY
GUSH
AKAO
RGLS
SLS
CRON
ACRX
GNMX
ATOS
CGC
CLDR
SGYP
TNXP
IBIO
BIDU
BILI
DBD
NXTD
SPHS
VLRX
CCCL
ACST
CVS
GLBS
ICON
IDXG
TTPH
UWT
PAVM
LJPC
ACAD
BA
KODK
NUGT
PED
WWR
IZEA
PLM
VKTX
HSGX
ADMP
ARLO
RAD
RNN
MRIN
SQ
BIOC
BZUN
GDX
GOOS
HUYA
LEDS
MICT
ANFI
CARA
CYTR
SENS
TRVN
VTL
VZ
NVAX
RGSE
SAEX
APRN
CGIX
CPRX
NDRA
INTC
SNES
MSFT
GE
AMRH
ATVI
EARS
GEVO
NVTA
OBLN
LMFA
PLAG
PULM
SWN
V
TENX
UGAZ
JD
ROKU
GALT
FPAY
OGEN
OMER
PBYI
PTN
SFET
TRIL
WYY
WFT
JNUG
WATT
ACHN
AKS
AVGR
EXEL
JAGX
NBR
JDST
NGD
ICPT
NOG
LENS
ISRG
MJ
TTD
AKER
WINS
BPMX
AMPE
AVEO
CSIQ
DIS
GMED
JCP
HTZ
NEO
NTES
MDCO
QTT
PLX
MRNS
PTLA
SBOT
SN
WDC
HIMX
MNGA
USO
BABA
AG
ALT
CVM
EYPT
GSAT
GSM
PYPL
RIG
SOGO
SRPT
STAF
XLE
NAK
CEI
ARWR
ASTC
ATIS
BLRX
CELG
CRBP
CZR
DRYS
HUSA
NKE
NSPR
LCI
OHRP
OILU
OSTK
PIXY
MO
MRKR
MTBC
YY
AMRN
BHC
TTNP
TRXC
IQ
DNR
ASNS
ATHX
AWSM
BOXL
DCAR
DUST
EPZM
ESEA
FCEL
GDXJ
FDX
FGP
GERN
FNKO
NAVB
INSG
LIQT
MRO
RVP
PTX
MYL
SBGL
SGMO
SWIR
TRPX
TXMD
VIVE
WMT
XXII
TWTR
T
GOGO
GLD
TWLO
F
AAP
ABIL
ARRY
AUY
AWX
BMY
BPTH
BRZU
CAT
CFRX
DCIX
DFFN
ECA
ESV
EXAS
GTXI
HEB
KL
NOK
OCUL
LLY
PANW
MBRX
MDT
MRNA
MTSL
SELB
TOPS
TQQQ
TTWO
TZA
SQQQ
WTI
X
ZSAN
HEAR
FIT
IDEX
AAL
AMAT
C
CRSP
DRIP
EYEG
GRPN
IBM
MARK
MEET
MOSY
TEVA
UPL
FB
SIRI
NVDA
AGEN
LABD
CLVS
PXS
AAPL
TSLA
STZ
PLUG
AMD
DGAZ
AMZN
DWT
QCOM
GOOGL
FLKS
GLUU
LABU
BB
HTBX
IBB
AYTU
CLPS
DIA
DPW
XBI
MU
ETSY
LULU
M
RIOT
SWKS
SHOP
SLV
TLT
GOOG
TVIX
SNAP
NFLX
IWM
CRC
QQQ
TLRY
SPY
GME
TGT
BBBY
EYES
KSS
LRCX
RHE
IMMU
INPX
FEYE
VXX
VHC
PCG
AXSM
AKRX
HD
UVXY
CMG
