Sensore,True,2019-06-06 13:36:00,2.311,RIOT MDGS ABIL TVIX
JP66,,2019-06-06 11:37:00,2.356,MDGS The co developed a portfolio of micro video cameras incl micro ScoutCam 12 considered worlds smallest video camera ScoutCam 80 HD the smallest HD camera illum solution in the world
JP66,,2019-06-06 11:35:00,2.356,MDGS Medigus MDGS a medical device company reported an order backlog of 11 Million as of May 31 for its microcamera business
