01cu812,,2019-06-06 15:55:00,11.825,UWT Sold my DWT All cash
alf1380,,2019-06-06 15:53:00,11.782,UWT ok we have 5320 if it holds tmrw on moving day time to buy UWT with both fists If notback in a holding pattern
zaraza,,2019-06-06 15:52:00,11.839,UWT hold over night or not hmmmm
Twit2018,,2019-06-06 15:51:00,11.851,UWT Is there war in the middle east Did an oil well blow up Or is it FOMO
JoeCoolTrader,,2019-06-06 15:48:00,11.821,UWT Banging the trade SPYcftcgovConsumerProtection
JoeCoolTrader,False,2019-06-06 15:34:00,11.706,UWT Expecting WTI to drop to 49 area before rebounding
sureshchaulagain,,2019-06-06 15:33:00,11.719,UWT i am confuse guys shall I hold or sell it Got some profit
ETFguru,,2019-06-06 15:33:00,11.719,UWT For those who bought this cheap this morning be sure to set some tight stop limits Protect those profits
sabre666,,2019-06-06 15:29:00,11.626,UWT USO CLF guess theyre giving up on sub 50 without a bit of reset on the daily firstLooks like November December
Esox,,2019-06-06 15:28:00,11.617,UWT Come on folks drink the jungle juice oil to 70 Already there according to the analysts Indexes gaining at least a point a day
Bull_is_Here,,2019-06-06 15:28:00,11.617,UWT looks like best time to get the oil bag lighter
NHD,,2019-06-06 15:27:00,11.624,USO UWT Starting to smell like a suckers rally
Levimusic,,2019-06-06 15:22:00,11.676,UWT DWT official tug of war between US goal to flood the oil market vs SA Aramco goal to keep oil prices up Who will win The US production at an all time high with no end in sight investingcomnewsstockma
riostevenson,False,2019-06-06 15:21:00,11.698,DWT folks squeazing UWT dry
Entrepredoer,,2019-06-06 15:18:00,11.698,UWT Not many stock boards where you can see the shorts squirming like you can here
Rodzilla01,True,2019-06-06 15:10:00,11.653,UWT The mentality of some lol
JessicaTraderGirl,,2019-06-06 15:09:00,11.647,GUSH UWT UWT up 6 and GUSH goes up 15 Ouch
alf1380,,2019-06-06 15:06:00,11.613,UWT there is resistance at 5320 or soif this breaks 5320 and holds for a day we are back on our way to 6000 So the Bet is eitherresistance holds start buying up DWT or wait to break 5320 and get in UWT
AmanAsmaro,False,2019-06-06 15:01:00,11.576,SPY DJIA AAPL AMZN UWT waiting for June 10th to short this market lol hahahha u all fell for a trap US will not delay tariffs under any conditions
JoeCoolTrader,,2019-06-06 15:01:00,11.576,UWT Got out of my position for lunch money profit on that pop Will wait to reenter on the next drop Gotta be fast in this market
alf1380,,2019-06-06 15:00:00,11.573,UWT Selloff tmrw Then a buy opportunity This one is confusing
ffweep,,2019-06-06 14:57:00,11.516,UWT DWT or Trump to say there will be no delay This is a tricky fast moving game lately
buffycat,,2019-06-06 14:56:00,11.493,UWT sorry for the stupid question No smart ass remarks please How is UWT related to ERX and if so why such a discrepencancy in the 2 stocks moving today I was going to buy UWT when it was negative bc i saw ERX was up Was that a coincidence and yes i will hire and advisor or get a robo advisor whichever is better THanks for any help
themoneytrail,,2019-06-06 14:54:00,11.516,UWT All we need is a delay in China tariffs and we head back to 60brl Just like that
GordonGekko888,False,2019-06-06 14:50:00,11.507,USO CLF UWT RIG OAS Take the miracle pop because that was it
themoneytrail,True,2019-06-06 14:49:00,11.491,UWT Well alrighty then I really needed this move today lets hope we build from here
Bombay55,True,2019-06-06 14:45:00,11.612,UWT feels like a 15 day is right around the corner Delay on mexican tarrifs and ocul is so damn oversold
vb420,True,2019-06-06 14:41:00,11.569,UWT holding strong
ffweep,,2019-06-06 14:40:00,11.579,UWT Delay in Mexico Tariffs
TheSkepticizer,,2019-06-06 14:38:00,11.611,UWT Went out for a walk came back and its up a dollar What gives
Cutlass,,2019-06-06 14:35:00,11.76,UWT My bag is lighter
