kitchencounter2,,2019-05-29 15:38:00,0.9644,MTNB thinking of leaving and going into AVLCA and or lynas
michael82929,True,2019-05-29 14:23:00,0.9763,AMRN solid as a rock MTNB gonna pop off on slow accumulation for weeks
michael82929,True,2019-05-29 12:54:00,0.9588,AMRN MTNB AZN GSK so happy for us Amarin bulls she is holding up like viagra right now and maybe thats who might buy us this yr
Antihydrogen,,2019-05-29 12:32:00,0.9511,AMRN In case you had to ask there are zero rare earths in Vascepa If you want to stretch this to cover manufacturing plants then Brazil and Vietnam combined who are both friendly to the US have enough to supply the world Australia could help tie over a temporary set back Japan sea has a few centuries worth of raw materials worth protecting by US naval ships Everything is relative in time Nobody is going to extinction Most of all China would be there greatest loser Stay cool MTNB IBB SPY
michael82929,,2019-05-29 11:34:00,0.9566,AMRN GSK MTNB AZN lovemesomega 2019
michael82929,True,2019-05-29 11:06:00,0.966,AMRN GSK MTNB AZN omegaoutperformsweed 2019 2020
michael82929,True,2019-05-29 11:01:00,0.966,AMRN GSK MTNB AZN omegawillbethenewweedspace 20192020
michael82929,True,2019-05-29 10:56:00,0.9701,AMRN lovemesomeomega AZN MTNB GSK AMRN
