sleekOptions,True,2019-05-29 13:49:00,37.58,AZN In the last one month 1 Winners above 30 per and 3 Losers below 30 per
michael82929,True,2019-05-29 12:54:00,37.541,AMRN MTNB AZN GSK so happy for us Amarin bulls she is holding up like viagra right now and maybe thats who might buy us this yr
rvc1881,False,2019-05-29 11:38:00,37.565,CLVS Appreciate the exit at 26 when this shows up at the bottom of my watch list every day Now 1B market capbut with an undeniably great drug that will forever remain under the heels of AZN olaparib and GSK niraparib without a big pharma patron Waiting to be this stocks shoulder to cry on when it sinks below 10
michael82929,,2019-05-29 11:34:00,37.595,AMRN GSK MTNB AZN lovemesomega 2019
michael82929,True,2019-05-29 11:06:00,37.643,AMRN GSK MTNB AZN omegaoutperformsweed 2019 2020
michael82929,True,2019-05-29 11:01:00,37.643,AMRN GSK MTNB AZN omegawillbethenewweedspace 20192020
michael82929,True,2019-05-29 10:56:00,37.676,AMRN lovemesomeomega AZN MTNB GSK AMRN
