mutny_tip,,2019-05-29 15:45:00,33.575,STMP
ankipate,,2019-05-29 15:42:00,33.57,STMP most funds last updated on 513515 for new positions they are underwater a little
ankipate,,2019-05-29 15:40:00,33.535,STMP look at the 13f some new funds took a large position a lot have been flushed out
Oiledboard73,,2019-05-29 15:39:00,33.558,STMP Will someone FORWARD the STMP bailout to PO
ankipate,,2019-05-29 15:32:00,33.55,STMP perking up good be a good follow through day tomorrow target 35 Ill be writing some calls right there
PhatPuffDaddy,,2019-05-29 15:31:00,33.52,STMP it would be a christmas miracle if the stock closed at this level or higher
ankipate,,2019-05-29 15:15:00,33.459,STMP got some momo need some volume for a green close and green open tomorrow
Oiledboard73,,2019-05-29 15:14:00,33.45,STMP Dont look like 30 will hold
Oiledboard73,,2019-05-29 15:05:00,33.335,STMP Does Stmp qualify for Govt bailout via the USPS
Oiledboard73,,2019-05-29 14:48:00,33.271,STMP Too many fake stocks like this around now Bearish on market
Ka5h_N_da_lVl0ney,,2019-05-29 14:39:00,33.325,STMP AMZN could benefit with a partnership Technically they ship more if not the same amount of packages as USPS
Ka5h_N_da_lVl0ney,,2019-05-29 14:32:00,33.27,STMP They are in the process of building their own system that is separate from USPS Should be next year when we might hear anything about a their new software
ankipate,,2019-05-29 14:27:00,33.278,STMP lol what if they announced usps partnership now I wouldnt be surprised its the government
kpdeville01,False,2019-05-29 14:16:00,33.12,STMP like a dang atm just printing the money
ankipate,,2019-05-29 13:52:00,33.176,STMP need some volume stuck in the mud here
ankipate,,2019-05-29 13:33:00,33.12,STMP fdx ups green come baby green
ankipate,,2019-05-29 13:32:00,33.12,STMP green close today we could see 35 pin for Friday opex
ankipate,,2019-05-29 13:27:00,33.063,STMP if we reverse and close green
ankipate,,2019-05-29 12:48:00,32.935,STMP bezos needs to scoop them up 150 They need big muscle to get deals and partnerships
ankipate,,2019-05-29 12:46:00,32.925,STMP ceo wont go anywhere until activist takes a position Gotta seee those 13f filing
link2020,False,2019-05-29 12:43:00,32.913,STMP they sell stamps in 2019
Zunino,,2019-05-29 12:43:00,32.913,STMP racing to go to ZERO why the CEO still there earning a fortune
ankipate,,2019-05-29 12:35:00,32.87,STMP TRADING LIKE PCG LOL AND EVEN THAT RECOVERED
ankipate,,2019-05-29 12:34:00,32.865,STMP EVERYONE AND THEIR MOTHER HAS AVERAGE DOWN I HAVE ONLY SEEN SELL SIDE MOMO TRADING VOLUME IS TOO LIGHT BUT MARKET DOESNT LET YOU BUY THE BOTTOM FOREVER SO WE MUST BE GOING LOWER
Harry786N,,2019-05-29 12:22:00,32.793,STMP buying moreNow need some good news from Stampscom
PhatPuffDaddy,,2019-05-29 12:21:00,32.77,STMP so easy for these cockroaches to manipulate the price lower and lower on such small volume
ankipate,,2019-05-29 12:04:00,32.93,STMP well knockin on 32 call options so cheap hate to sell an upside call here when it could spike in the next 2 days
PhatPuffDaddy,,2019-05-29 11:52:00,32.982,STMP imagine being a profitable company with little debt being treated like youre going bankrupt what a joke
kingscats,False,2019-05-29 11:13:00,33.06,ROKU Citron article going to be published soon will drop 50 like Stampscom STMP lol
EstimizeAlerts,,2019-05-29 11:00:00,33.345,Heres what 9 Estimize analysts believe STMP will report for Q2 2019 revenue Reporting 0731 AMCestimizecomintrostmpcha
miracleboy,,2019-05-29 10:26:00,33.45,STMP wait to the crook insiders buy
celtic92nyc,False,2019-05-29 10:14:00,33.401,STMP anyone have ours or call out there
ankipate,,2019-05-29 10:02:00,33.22,STMP haha funny
RisingProfits19,,2019-05-29 09:57:00,33.19,STMP they dont give a fck
RisingProfits19,,2019-05-29 09:57:00,33.19,STMP joke These guys will probably go down as the worst management team in history The worst part about it is they dont huge a fck
Candysour,,2019-05-29 09:55:00,33.25,STMP Stocks market is bad than cryptocurrency nowBuying cryptocurrency is in futureCEO needs to jail him
kpdeville01,,2019-05-29 09:47:00,33.3,STMP puts fellas puts If your long hedge with puts
