BulletKotH,,2019-02-25 14:52:00,0.2081,VTL RVLT CGA CYTR EDGE low volumes under 60k
Vikingsixty2,True,2019-02-25 10:38:00,0.208,XOM WFT SN YUMA UPL USO URA UEC KEG FCEL DNN LODE NAK ASM TGB GPL PRPO AG VTL TTNP FPAY TRXC ACRX TNDM AVEO RGSE
Vikingsixty2,True,2019-02-25 10:03:00,0.2072,VTL Mornin BULLshollandreviewcom2019022
