IcebergBot,,2019-02-25 15:55:00,98.7,Big Trade Blocks for VAC Largest Trade 231 of Volume icebergbotcomsVAC
EstimizeAlerts,,2019-02-25 11:11:00,99.225,VAC estimates distribution heres what 5 Estimize analysts are expecting VAC to report for Q1 Reporting 0502 BMOestimizecomintrovacchar
EstimizeAlerts,,2019-02-25 10:24:00,99.02,Estimize revenue expectations are 870 lower than that of Wall Street for VAC Q4 Reporting 0228 BMOestimizecomintrovacchar
