Michigan_Man,False,2019-02-25 13:07:00,37.79,DKS empty
EstimizeAlerts,,2019-02-25 11:49:00,38.05,DKS analysts on Estimize expect 230 YoY growth in Same Store Sales for Q4 up from 1400 in previous year Reporting 0312 BMOestimizecomintrodkschar
EstimizeAlerts,,2019-02-25 11:47:00,38.046,Heres what 23 Estimize analysts believe DKS will report for Q4 2018 EPS Reporting 0312 BMOestimizecomintrodkschar
