Bullish_Swagger,True,2019-02-25 15:40:00,1.341,XRF Very similar too CIFS Friday and we all know how that worked out Savage
VolatrixTradingBlog,True,2019-02-25 15:02:00,1.34,Most likely to hold KEG and XRF Overnight Good potential with attractive riskreward Wont hurt to take profits accordingly
VolatrixTradingBlog,True,2019-02-25 14:11:00,1.38,XRF Needs to close above 134 for overnight idea Watching towards the EOD for confirmation
