Wolfblood_,False,2019-02-25 10:04:00,41.423,Chart looking dreadful Needs to take a bounce off trendline support again to regain ATVI
nycmax2002,,2019-02-25 09:52:00,41.533,ATVI looking like we blast off to 42 or to 40 Its still oversold on the weekly and daily
nass,True,2019-02-25 09:52:00,41.533,ATVI 425 today
fishinNbanjo,True,2019-02-25 09:51:00,41.513,ATVI doing some value investing
Sammy2bit,False,2019-02-25 09:48:00,41.606,ATVI lmaoaoooooo Markets been on fire what the fuck are you doing
sexytaxi69,,2019-02-25 09:45:00,41.64,ATVI this looks like it wont hold in 40s any longer Holding avg 43
Redballs858,False,2019-02-25 09:40:00,41.278,ATVI no Green Days here
mrRoyal,,2019-02-25 09:38:00,41.099,ATVI done holding this bag going to add to my ge and amd positions
lee305,,2019-02-25 09:38:00,41.099,ATVI 38 on deck going to be a beaut buy
PedoTheTrader,False,2019-02-25 09:38:00,41.099,ATVI 38 folksin a few days
mrRoyal,,2019-02-25 09:34:00,41.291,ATVI my smallest investment and biggest loss in my current portfolio bounce up already you pos
NAZCORP,False,2019-02-25 09:33:00,41.325,ATVI When are the going to file for bankruptcy Worse stock ever
swingtraderbyday,,2019-02-25 09:33:00,41.325,ATVI Wow what a piece of shit
