fugazitrader,,2019-02-25 14:13:00,22.058,OILU long at 22
JimInvestor,False,2019-02-25 13:50:00,22.031,Q1 2019 FactSet fcst SPX YoY eps 27 first in 3 yearsthe kobeissi letterGDP drop thursHenceVIX CLF OILU KHC GOOG
johnmiddleton,,2019-02-25 13:03:00,21.676,OILU I still see OILU at a much higher level from here OPEC is trying to push oil up to 75barrel Russia needs that price
johnmiddleton,True,2019-02-25 12:59:00,21.7,OILU Trump must have needed gas in his limo this morning He makes one remark and the bottom drops out
JimInvestor,False,2019-02-25 11:41:00,21.71,Crude has begun a correctionCLF OILNF OILUGDP in freefall in synchronized slowdownEps recession Tech semiconductor glut also
