MonkeyBiznas,,2019-02-25 13:10:00,8.63,DFRG added another 1k shares here
EstimizeAlerts,,2019-02-25 11:00:00,8.823,Heres what 4 Estimize analysts believe DFRG will report for Q1 2019 revenue Reporting 0506 BMOestimizecomintrodfrgcha
EstimizeAlerts,,2019-02-25 10:24:00,8.755,DFRG analysts on Estimize are expecting 9665 YoY EPS growth for Q4 up from 13333 in Q3 Reporting 0312 BMOestimizecomintrodfrgcha
