Adnan101,,2019-02-25 15:33:00,65.932,Bodenholm Capitals Returns AUM and HoldingsPG CL ORCL BKI DHR PRSP KSS LWinsidermonkeycomblogbode
EstimizeAlerts,,2019-02-25 14:53:00,65.828,KSS reported 25 Comparable Store Sales last quarter Next report is on 0305 BMO Jury is still out on expectations Whats yoursestimizecomintroksschar
freakathlete,False,2019-02-25 13:16:00,65.86,KSS sitting at 50 EMA
EstimizeAlerts,,2019-02-25 13:15:00,65.822,KSSs Comparable Store Sales is a key growth metric for their next report on 0305 BMO Will they beat last quarters 25 Comparable estimizecomintroksschar
sleekOptions,True,2019-02-25 13:04:00,65.848,KSS In the last six months 20 setups peaked above 100 after they were posted
sleekOptions,True,2019-02-25 13:03:00,65.844,Update1 KSS Mar01 67 Calls Up 31 since alerted on Feb 25
Institutional_flow,,2019-02-25 12:37:00,66.002,KSS march put volume
EstimizeAlerts,,2019-02-25 12:30:00,66.047,KSS estimates distribution heres what 8 Estimize analysts are expecting KSS to report for Q1 Reporting 0521 BMOestimizecomintroksschar
EstimizeAlerts,,2019-02-25 12:30:00,66.047,KSS reported Comparable Store Sales last quarter Next report is on 0521 BMO Jury is still out on expectations Whats yoursestimizecomintroksschar
EstimizeAlerts,,2019-02-25 11:38:00,66.401,Estimize revenue expectations are 042 lower than that of Wall Street for KSS Q4 Reporting 0305 BMOestimizecomintroksschar
EstimizeAlerts,,2019-02-25 11:37:00,66.37,KSS reported 25 Comparable Store Sales last quarter Next report is on 0305 BMO Jury is still out on expectations Whats yoursestimizecomintroksschar
BullBearCharts,True,2019-02-25 10:34:00,66.031,GE DHR WDC GT LB ALGN CPRI COG IPGP AMD TWTR AMG ALB XLNX KSS M QRVO HPESP 500 Opening Bellbullbearchartsblogspotcom
PROHASKA,,2019-02-25 10:04:00,65.68,KSS Was assigned 300 at 65 after Puts last wk for 034share Just wrote Call at 65 Fri for 148share 6318 cost basis Smooth sailing
