shortvolumes,,2019-02-25 15:37:00,21.912,20190222 Short sale volume not short interest for CRC is 57 shortvolumescomtCRC via shortvolumes
Short_Devil,False,2019-02-25 15:33:00,21.885,CLF CRC CHK DNR OAS SN WLL anyone seen Evolution999 the drunk only shows up on green days
Short_Devil,False,2019-02-25 15:11:00,21.995,CRC full short position 2205 stop 225 holding through earnings if not stopped out before
GordonGekko888,False,2019-02-25 12:06:00,21.714,USO CLF UWT DWT XLE CRC OAS RIG Even Bitcoin is outperforming oil today HAHAHA
GordonGekko888,False,2019-02-25 11:48:00,21.752,USO CLF UWT DWT XLE CRC OAS RIG You dinks will never get high oil prices with The Donald President I told u to dump last week LOL
GordonGekko888,False,2019-02-25 10:41:00,21.677,USO CLF UWT DWT RIG CRC OAS XLE I told you maggots to take the 57 miracle Remember But u didnt so now be TOASTED
Short_Devil,False,2019-02-25 09:38:00,21.559,CRC SMASH IT
