Aspartacus,,2019-02-25 15:59:00,173.464,SPY 272 possibly 275 minimum QQQ UVXY TVIX IWM
maddieoptions,,2019-02-25 15:59:00,173.464,SPY QQQ AAPL
cobravenom39,True,2019-02-25 15:58:00,173.534,QQQ I have to admit I didnt expect profit taking
SmallCapValueTrading,False,2019-02-25 15:54:00,173.641,SPY QQQ boom All out of puts
BuyByeBy,,2019-02-25 15:49:00,173.68,SPY QQQ VIX not short but the way this market is acting makes me uncomfortable Not healthy Take fans when you have them
NFTRH,,2019-02-25 15:48:00,173.714,NFTRH SPX Hits Extreme Target Recoils VIX GDP Now Tank nftrhcom20190225spxhi SPX SPY VIX VXN VIXY DIA QQQ
iSwag,,2019-02-25 15:46:00,173.77,SPY QQQ volatility picking up abit here IWN red again relative weakness VIX small spike here lead the way moving forward
dietrich86,,2019-02-25 15:46:00,173.77,DJIA NDX SPY SPX XLE XLF XLK XLI BAC AAPL AMZN MU AMD QQQ SQQQ SDOW TVIX VIX VIXY dow daily chart clear pop sell off
WarrenPuffett,,2019-02-25 15:45:00,173.834,Pop into close Smelling something interesting SPY QQQ TQQQ UVXY AAPL GS FB SQQQ IWM DIA SPX VIX VXX
kpak82,,2019-02-25 15:41:00,173.855,SPY QQQ SMH lots of red daily candles after gap up today with extended daily and weekly moves
sok454,,2019-02-25 15:39:00,173.817,SPY QQQ ive never seen a single person on this board say man I totally missed that call Confirmation bias is strong
dietrich86,,2019-02-25 15:37:00,173.87,DJIA NDX SPY XLE XLF XLK XLI BAC AAPL AMZN QQQ Time for a pullback SQQQ SDOW VIX VIXY TVIX
cybercash28,,2019-02-25 15:28:00,173.698,SPY QQQ IWM IBB XBI ITA Be patient dont jump updown every minute watching stks as long as wkly uptrend intact they R fine
sok454,,2019-02-25 15:26:00,173.761,SPY QQQ bulls be like EOD buy algos at 330
sc0ut1,,2019-02-25 15:21:00,173.915,SPY SPX QQQ DIA IWM VIX VXX VXST VIXY UVXY TVIX SVXY hedge fund 10x leveragezerohedgecomnews201902
corruptmarket,,2019-02-25 15:17:00,174.015,ETSY why I grabbed some shares SPY QQQ
PajamaTrader,True,2019-02-25 15:17:00,174.015,SENSATIONAL outperformance from TECH all day high and tight consolidation all session leading the other indexes COME TO PAPA SPY QQQ AAPL
PajamaTrader,True,2019-02-25 15:16:00,174.03,QQQ PARABOLIC INTO THE CLOSE BABY THEY JUST CCCAAANNTTT TAKE THIS MARKET DOOOOWWWWNNNN SPY IWM
TrendTraderX,True,2019-02-25 15:12:00,173.92,QQQ Buy buy buy
200pips,True,2019-02-25 15:11:00,173.851,QQQ 40 to go keep buying
StockTrader4God,True,2019-02-25 15:06:00,173.867,SPX price targets 12 higher than here expected range SPY UVXY TVIX QQQ DIA DJIA IWM ESF VIX happy trading Enjoy it
cybercash28,,2019-02-25 15:05:00,173.883,FB Can invest in FB for next decades Good gifts for babies QQQ SOCL
