Adnan101,,2019-02-25 15:33:00,69.332,Bodenholm Capitals Returns AUM and HoldingsPG CL ORCL BKI DHR PRSP KSS LWinsidermonkeycomblogbode
InsiderForms,,2019-02-25 11:40:00,70.218,Kentucky Retirement Systems Insurance Trust Fundhas filed Form 13F for Q4 2018Opened NEW positions in FANG FTNT KEYS LW MXIM
InsiderForms,,2019-02-25 11:40:00,70.218,Kentucky Retirement Systemshas filed Form 13F for Q4 2018Opened NEW positions in FANG FTNT JKHY KEYS LW MXIM ROL LIN
