mhmp24,,2019-02-25 15:59:00,42.709,MU POS
TraderLeibniz,,2019-02-25 15:58:00,42.711,NVDA Dead money Sorry longs but I only played ER pop no staying power as I thought Jensen lied and investors stayed away AMD MU
pistol_pete,,2019-02-25 15:56:00,42.743,SPY MU todays price action is very discouraging for us longscan someone please ring the bell before this goes red
StockyNinja,,2019-02-25 15:54:00,42.832,MU zzz thanks obama i mean spy
JimInvestor,False,2019-02-25 15:54:00,42.832,JANET YELLEN SAYS TRUMP HAS A LACK OF UNDERSTANDING OF FED POLICIES AND THE ECONOMYCNBCFinger pointing on GDP dropoffhas begunMU
SuperPump3000,,2019-02-25 15:54:00,42.832,MU ffs
dietrich86,,2019-02-25 15:46:00,42.949,DJIA NDX SPY SPX XLE XLF XLK XLI BAC AAPL AMZN MU AMD QQQ SQQQ SDOW TVIX VIX VIXY dow daily chart clear pop sell off
Gobabygo,True,2019-02-25 15:42:00,42.98,MU Manipulation at its finest
Marcush214,,2019-02-25 15:41:00,42.991,MU somebody refuses for this to move past 43 I should have sold this morning
Gobabygo,True,2019-02-25 15:37:00,42.993,MU MU could be buying shares for the BB here at 4300
StockyNinja,True,2019-02-25 15:34:00,42.998,MU seems we built a new base here
JimInvestor,False,2019-02-25 15:27:00,42.967,Mkt Dropping nowVix up 585GDP realtime drop is not factored in anythingMU to face 30 price drop
ShantP21,,2019-02-25 15:24:00,43.02,MU Trump tweets USChina trade deal in advanced stagestwittercomrealdonaldtrump
Mayhue,True,2019-02-25 15:20:00,43.015,MU Bears get ready to be run over
Gobabygo,True,2019-02-25 15:19:00,42.99,MU Got to hand it to the Big banks they showed today how they can take complete control over a stock like MU
jjackso3,,2019-02-25 15:19:00,42.99,MU appears to be plenty of 43 supply
cwags1278,True,2019-02-25 15:18:00,42.991,MU showing some strength when SMH is falling and AMD and NVDA are giving back large gains
Glen71,False,2019-02-25 15:07:00,42.945,MU
jjackso3,,2019-02-25 15:04:00,42.963,MU 4274 on deck Close to getting a short signal on 10min MACD
GordonsGecko,,2019-02-25 15:04:00,42.963,MU Funds didnt like todays volatility when they are the option sellers Going to assume they didnt know about surprise trade news
Gobabygo,True,2019-02-25 14:57:00,42.965,MU Damn weird action in MU today why is big money so hell bend on having MU at 4300 today
jjackso3,,2019-02-25 14:45:00,43.063,MU Current Derivative statistics
daniel222,True,2019-02-25 14:43:00,43.075,MU buY
jjackso3,,2019-02-25 14:43:00,43.075,MU Here are your probabilities for 08Mar contracts
jackkorn,,2019-02-25 14:43:00,43.075,MU its an absolute no brainer for them exchanging their paper selling for 2025 X earn For paper selling 4x earn
jackkorn,,2019-02-25 14:42:00,43.069,MU five of the biggest chip coare salivating from their mouths to get a hand on MU
JimInvestor,False,2019-02-25 14:41:00,43.06,Markets fading intradayBad breadth today was smelled earlyNVDA MU FBGDP dropoffwill print thurs
Gobabygo,True,2019-02-25 14:40:00,43.053,MU MU held down around 4300 most of the day you cant fight big money they will get MU at a discount price
jjackso3,,2019-02-25 14:38:00,43.044,MU All in all I say the Derivatives are mixed today
jackkorn,,2019-02-25 14:38:00,43.044,MU expect a buyout any day nowit is coming as sure as spring and summer are comingshould be in the high 50s low 60sits a no brainer
alfonso84,,2019-02-25 14:35:00,43.026,opendoorlabcom Green day MSFT V BA ABT LLY LOW MOSO CAT MU INTU DHR LUV EBAY ORLY KLAC BR ABC KMI KEY O
Mayhue,True,2019-02-25 14:28:00,43.006,MU Lol that was your dip to buy crooks are holding it
Mayhue,True,2019-02-25 14:27:00,43.001,MU Ready to pop power hour lets see high 43 by close
dicerollcapital,True,2019-02-25 14:26:00,42.997,MU damn fuckin pathetic
cwags1278,True,2019-02-25 14:23:00,42.967,MU low vol is brutal
JimInvestor,False,2019-02-25 14:18:00,42.958,Vix up 58Breadth gone stinky Indexes initiated capitulation on 5day chart100min crossed downward 200SOXS MU
WhyYouDoThisToMe,,2019-02-25 14:13:00,42.945,MU Im trying to buy calls 45 strike price for 17 expiring this week
MariaGascon,,2019-02-25 13:55:00,42.97,MU Seriously wtf been at 4297 for 4 houses just fk
Gobabygo,True,2019-02-25 13:48:00,42.96,MU I guess MU is done buying back stock for this quarter
c2dajay,,2019-02-25 13:43:00,42.981,MU Green is always good but man this always fades
topstockalerts,,2019-02-25 13:41:00,42.963,Barrons On The New Cold War in TechBABA AVGO CSCO BIDU MU NOK TSMmbenzingacomarticle1323
Nightrise,,2019-02-25 13:40:00,42.943,MU can someone explain to me why this trade is a PE of 35 while the rest if the semi conductor market PE is 20
PACFAN,True,2019-02-25 13:36:00,42.885,MU Wall Streets redheaded stepchild Show us some love
cwags1278,True,2019-02-25 13:32:00,42.922,MU JimInvestor is really trying to sell that semi collapse story weird
ccape,,2019-02-25 13:30:00,42.975,MU its been kinda fishy monday
MariaGascon,True,2019-02-25 13:30:00,42.975,MU After the deal with china you would think it will be above 45 by now
JimInvestor,False,2019-02-25 13:29:00,42.974,Destinedfor 35 WDC for 30 MUindustry news memory price dropoffGDP dropoff report thursBad breadth today smells it
MariaGascon,,2019-02-25 13:24:00,42.991,MU it stuck again
jjackso3,,2019-02-25 13:10:00,43.008,MU MACD on the 10 day 10 min is still saying its a buy It is only on the 382 Fib contraction line
James_Jang,,2019-02-25 13:09:00,43.006,SPY MU I guess MM will make a shallow dip tmrrw
JPfromYouTube,,2019-02-25 13:02:00,42.994,A simple way to be sure you get 21 risk reward ratio my day trading recap 556 in 17 minutes youtubecomwatchvK1Izm66 MU IQ ONCE
smokin_HOT,,2019-02-25 13:01:00,42.979,MU Street sees 54 on the pf chart
CaptainYesterday,True,2019-02-25 13:00:00,42.987,MU sorry been dealing with gains out the ass this morning Come on MU Get over that hump
ChartMill,,2019-02-25 13:00:00,42.987,Quality undervalued stocks like BAC HFC and MU showing up in our Fundamental Piotroski Fscore screen chartmillcomstockscreener
jjackso3,,2019-02-25 12:59:00,42.967,MU they updated again today
JimInvestor,False,2019-02-25 12:57:00,42.879,Vix bid up over 5Breadth begun to have stinkinessGDP drop is ThursNow this gets hit with 30 chip price drop realityWDCMU
