lee305,True,2019-02-25 11:53:00,28.885,DSW winning
EstimizeAlerts,,2019-02-25 10:37:00,28.55,Estimize EPS expectations are 1617 higher than that of Wall Street for DSW Q4 Reporting 0319 BMOestimizecomintrodswchar
EstimizeAlerts,,2019-02-25 10:37:00,28.55,DSW reported 73 Comparable Sales last quarter Next report is on 0319 BMO Jury is still out on expectations Whats yoursestimizecomintrodswchar
