IntensityStocks,,2019-02-25 15:55:00,13.763,35504 PM Making fresh LOD in VYGR 1373 46 ON 1050K VOL ISW Bearish WatchScan
WarmingTrend,,2019-02-25 15:53:00,13.876,VYGR See Steal a few then tutes Buy On Close orders They are making sure this one keeps going much much higher
WarmingTrend,,2019-02-25 15:40:00,14.03,VYGR They will do ANYTHING to separate you from your shares
WarmingTrend,,2019-02-25 15:39:00,14.04,VYGR If u r new to VYGR two things 1 Do NOT stare at L2 A majority of lots are phantoms MOST come from dark pools 2 And
Thorgood,,2019-02-25 12:11:00,14.325,VYGR got an upgrade and new price target ra
WarmingTrend,,2019-02-25 10:42:00,14.07,VYGR At least you got the fast money players to leave and go elsewhere So the move higher should be much stronger
lecorb,,2019-02-25 09:31:00,14.25,premarket gainers seekingalphacomnews34365 FENG CIFS QURE MVIS BOLD RGNX CRSP QFIN VYGR LX UXIN SOLO NIO HUYA MOGU INSG DHR FUV
TradeIdeasQuant,,2019-02-25 09:30:00,13.897,VYGR tradeideascomtickyticky Oh Snap that is Nice Nice pop right thereyep Running up 041 in 52 seconds
TradeIdeasQuant,,2019-02-25 09:30:00,13.897,VYGR tradeideascomtickyticky Is doing in one week what you would kill for in a year New High 005 Next resistance 1414 from 1172018
