levy42088,,2019-02-25 15:51:00,1.735,PLUG is there something here
Phenix1,True,2019-02-25 15:20:00,1.747,PLUG Global leaders discuss hydrogen technology research promotion of hydrogen as fuel source of the FUTURE ieahydrogenorgpdfsPress
VolumeBot,,2019-02-25 15:15:00,1.733,Short volume percent for PLUG was 5876 on 022219 volumebotcomsPLUG
cleanhydro,True,2019-02-25 15:02:00,1.755,PLUG Better get your shares Fireworks about to start as Plug get closer to releasing record revenue and earnings Shorts to bad
S2b,,2019-02-25 14:24:00,1.756,PLUG The last time the CMF built this pattern the fat lady started singing her favorite tune
Phenix1,True,2019-02-25 14:16:00,1.764,TM TSLA GM F NIO PLUG Chinas Production of Hydrogen FuelCell Vehicles grows 27 in 2018 United States NEEDS to CATCH UP
eenmakkie,,2019-02-25 14:02:00,1.771,I just looked at my HYGS chart againThe all time defending trendline over decades has Been broken twice BLDP PLUG FCEL
S2b,,2019-02-25 13:57:00,1.772,PLUG One more time why is it such a positive to get spanked down by resistance anyone
S2b,,2019-02-25 13:43:00,1.775,PLUG Some Pump Clowns are just here to see how long b4 they get blocked 25 I Fing doubt it BTW prove it I bet you cant
DeplorableIrredeemable,True,2019-02-25 13:42:00,1.778,PLUG Do your DD on EGO May increase that would decrease gold But there are changes in Co that may yield good results later in 2019
Str8_Outta_Locash,True,2019-02-25 13:39:00,1.775,PLUG Interesting 250K sell brought it down only 2 cents Someone is loosing his manipulation edge
sompschei,,2019-02-25 13:35:00,1.771,PLUG if clownhydro not post here his shit is verry quiet
DeplorableIrredeemable,True,2019-02-25 12:59:00,1.789,PLUG stockholders I told you so MKRS Mikros up 125 today Just saying
S2b,,2019-02-25 12:30:00,1.785,PLUG For anyone who hasnt been paying close attention there are only a dozen here who are actually trading in the market we post trades
Phenix1,True,2019-02-25 12:19:00,1.787,PLUG The hydrogen mobility revolution It is happening Now twittercomch2angestatus
S2b,,2019-02-25 12:16:00,1.788,Being PLUG has successfully defended 150 for sometime now I rolled up 20 of my calls
Phenix1,True,2019-02-25 12:04:00,1.789,PLUG Hydrogenics to Deliver Worlds Largest Hydrogen Electrolysis Plant Air Liquide Selects Co Installation fuelcellsworkscomnewshyd
DeplorableIrredeemable,False,2019-02-25 11:54:00,1.783,PLUG LIQVIS 1st LNG station near Berlin A single refueling process takes 48 minutes can be sufficient for a distance of up to 1600 km
WillDU,,2019-02-25 11:32:00,1.798,PLUG 2 March 8 Call
Str8_Outta_Locash,True,2019-02-25 11:12:00,1.794,PLUG Not very willing to pull back
S2b,,2019-02-25 10:20:00,1.795,PLUG 06 for Q4 enough said
cbond,,2019-02-25 10:20:00,1.795,PLUG I use their product in johnstown ny we get the new one this summer
DeplorableIrredeemable,,2019-02-25 10:18:00,1.8,PLUG if 100000 FC parts going in FCs for delivery vans Who Not UPS the local delivery points are contracted out along with their vans
Phenix1,True,2019-02-25 09:56:00,1.796,PLUG Air Liquide Invests in the Worlds Largest MembraneBased Electrolyzer to Develop its CarbonFree Hydrogen Production
DeplorableIrredeemable,,2019-02-25 09:53:00,1.795,PLUG recently leased an old warehouse near Albany and are spending someones capital tooling it How much How are FCs going 2b fueled
DeplorableIrredeemable,False,2019-02-25 09:49:00,1.795,PLUG is keeping their new vehicle customer a secret from their stockholders Why Who is EEP How much did New York contribute Yikes
eenmakkie,,2019-02-25 09:42:00,1.805,HYGS I repeat I wonder if this becomes the new PLUG run of 2019 It has all the same colours BLDP misses it
