MarkLitwin,True,2019-02-25 15:20:00,145.467,UBNT NSSC ALRM NOW CYBR PAYC CDNS TTD NSP Portfolio up 94 since Feb 9th 2018
caffy,True,2019-02-25 14:30:00,145.15,UBNT yay its going even higher 150 by tomorrow please
caffy,,2019-02-25 14:03:00,144.52,UBNT book value per share 178
caffy,,2019-02-25 13:51:00,144.617,UBNT can you please also loan me 250k in Free Financing to short your stock at 150
caffy,False,2019-02-25 13:50:00,144.68,UBNT how easy is it really to purchase products on up to 250k of their Free financing do they count these as real sales
caffy,True,2019-02-25 13:23:00,144.516,UBNT Shorties gotta love Mr Margin and rigged markets
longonly120,,2019-02-25 13:18:00,144.325,UBNT Mr Margin isnt done yet Fundamentals arent part of this trade
caffy,True,2019-02-25 13:09:00,144.056,UBNT if you dare shorting here maybe theyll make you cover at 150 or 300
caffy,True,2019-02-25 13:07:00,144.1,UBNT with the 20day moving average still at 12370 this is not overextended here at all
caffy,True,2019-02-25 12:51:00,144.351,UBNT incredibly low price for fully stuffed channel
caffy,True,2019-02-25 12:49:00,144.199,UBNT still amazingly cheap here why not go allin and sell at 300 next week
caffy,True,2019-02-25 12:38:00,144.325,UBNT hey shortie after 150 maybe it continues straight up to 300 just like that potstock TLRY did a few months ago
caffy,,2019-02-25 11:55:00,144.75,UBNT with people putting stronger radio antennas everywhere can you imagine possible health issues related to radiation exposure
caffy,True,2019-02-25 11:46:00,144.9,UBNT hey shorties this is your last chance to cover before 150
caffy,True,2019-02-25 11:37:00,144.921,UBNT always remember that the market likes to exaggerate so this is going a lot higher than you could reasonably expect
caffy,True,2019-02-25 11:11:00,144.047,UBNT who cares if 30day VWAP still just 120 it will never go down guaranteed
caffy,True,2019-02-25 11:10:00,144.043,UBNT go even higher please
cybercash28,,2019-02-25 11:10:00,144.043,see that UBNT non stop going up why ER Beat stk simple strategy
caffy,True,2019-02-25 11:09:00,144.16,UBNT we want that 150 even though stuffed channel could be obsolete fast and result in a huge loss
EstimizeAlerts,,2019-02-25 11:08:00,144.201,UBNT analysts on Estimize are expecting 942 YoY revenue growth for Q3 down from 2251 in Q2 Reporting 0509 BMOestimizecomintroubntcha
caffy,True,2019-02-25 11:05:00,144.22,UBNT 150 150 150 please
caffy,,2019-02-25 10:56:00,144.18,UBNT who cares if Pera has stuffed the channel we still love him and this great pump is going to 150 regardless
caffy,,2019-02-25 10:54:00,143.956,UBNT higher please I wanna short 150
