BotMuncher1,,2019-02-25 12:37:00,79.61,MCD CMG SBUX CAKE JACK DPZ food getting whackeld SPY
EstimizeAlerts,,2019-02-25 12:33:00,79.875,JACK analysts on Estimize are expecting 2050 YoY EPS growth for Q2 up from 976 in Q1 Reporting 0515 AMCestimizecomintrojackcha
EstimizeAlerts,,2019-02-25 12:33:00,79.875,JACK reported 05 Same Store Sales last quarter Next report is on 0515 AMC Jury is still out on expectations Whats yoursestimizecomintrojackcha
