50kin24hours,True,2019-02-25 15:28:00,2.23,CJJD watching
SSpade,,2019-02-25 12:08:00,2.233,BDSI Great day mini dip to prior 495 resistance now support CJJD VOLUME finishing symmetrical triangle
SSpade,,2019-02-25 11:00:00,2.19,CJJD for me accumulation area characterized by sideways stock price motion and a potential buying opportunity
