MellowJonnie,False,2019-02-20 15:11:00,81.847,USLV out for now Back in 7475 range
ChrisVermeulen,,2019-02-20 10:49:00,81.38,PODCAST Nat Gas Gold SP500 In for Big Reversals thetechnicaltraderscompod gcf GLD DGP UGLD DGZ GLL DGLD sif SLV AGQ USLV ZSL
ChrisVermeulen,,2019-02-20 10:30:00,81.381,Are Gold and Silver A Short Trade Up at This Level thetechnicaltraderscomhas gcf GLD DGP UGLD DGZ GLL sif SLV AGQ USLV ZSL
